RuFaS ID, feed_name, description, type, units,Old RuFaS ID,Comp_location,EF_Source
1,ALFALFA,Meal,Forage,kg,1,NRC_and_NASEM,Foods3
2,ALMOND,Hulls,Conc,kg,2,NRC_and_NASEM,LEIF
3,APPLE,"Pomace, wet",Conc,kg,3,NRC_and_NASEM,None
4,BAKERY BYPRODUCT,Byproduct meal,Conc,kg,4,NRC_and_NASEM,LEIF
5,BAKERY BYPRODUCT,"Bread, waste",Conc,kg,5,NRC_and_NASEM,LEIF
6,BAKERY BYPRODUCT,Cereal byproduct,Conc,kg,6,NRC_and_NASEM,LEIF
7,BAKERY BYPRODUCT,Cookie byproduct,Conc,kg,7,NRC_and_NASEM,LEIF
8,BARLEY,"Grain, rolled",Conc,kg,8,NRC_and_NASEM,National
9,BARLEY,"Grain, steam-rolled",Conc,kg,,----,National
10,BARLEY,Barley hay,Forage,kg,,----,None
11,BARLEY,Malt sprouts,Conc,kg,,NRC_and_NASEM,LEIF
12,BARLEY,"Silage, headed",Forage,kg,10,NRC_and_NASEM,National
13,BARLEY,"Silage, mid maturity",Forage,kg,,----,National
14,BARLEY,"Silage, vegetative",Forage,kg,,----,National
15,"BEET, SUGAR",Pulp dried,Conc,kg,11,NRC_and_NASEM,National
16,"BEET, SUGAR","Pulp dried, molasses added ",Conc,kg,,----,National
17,"BEET, SUGAR",Pulp wet,Conc,kg,,----,National
18,BERMUDAGRASS,Hay,Forage,kg,12,NRC_and_NASEM,National
19,BERMUDAGRASS,"Tifton-85, hay, 3-4wk growth",Forage,kg,13,NRC_only,National
20,BERMUDAGRASS,"Silage, mature",Forage,kg,,----,National
21,BERMUDAGRASS,"Silage, mid maturity",Forage,kg,,----,National
22,BLOOD,"Meal, high dRUP",Conc,kg,14,NRC_and_NASEM,National
23,BLOOD,"Meal, low dRUP",Conc,kg,15,NRC_and_NASEM,National
24,BREWERS GRAINS,Dried,Conc,kg,16,NRC_and_NASEM,LEIF
25,BREWERS GRAINS,Wet,Conc,kg,17,NRC_and_NASEM,LEIF
26,BREWERS YEAST,Dried,Conc,kg,,----,None
27,BREWERS YEAST,Wet,Conc,kg,,----,None
28,CANDY,"Not chocolate, byproduct",Conc,kg,,----,LEIF
29,CANDY,"High protein, byproduct",Conc,kg,,----,None
30,CANOLA,Seed,Conc,kg,18,NRC_and_NASEM,LEIF
31,CANOLA,Meal,Conc,kg,19,NRC_and_NASEM,LEIF
32,CHOCOLATE,Byproduct,Conc,kg,20,NRC_and_NASEM,LEIF
33,CITRUS,Pulp dried,Conc,kg,21,NRC_and_NASEM,LEIF
34,CITRUS,Pulp wet,Conc,kg,,----,LEIF
35,"CORN, YELLOW",Cobs,Conc,kg,22,NRC_and_NASEM,None
36,"CORN, YELLOW","Gluten feed, dried",Conc,kg,24,NRC_and_NASEM,LEIF
37,"CORN, YELLOW","Gluten feed, wet ",Conc,kg,,----,LEIF
38,"CORN, YELLOW",Germ ,Conc,kg,,----,LEIF
39,"CORN, YELLOW",Germ meal,Conc,kg,,----,LEIF
40,"CORN, YELLOW","Grain and cob, dry, ground",Conc,kg,,NRC_and_NASEM,Foods3
41,"CORN, YELLOW","Grain and cob, high moisture, ground",Conc,kg,,NRC_only,Foods3
