year_month,estimated_PTA
2006-01,-630.0692402
2006-02,-620.7267157
2006-03,-611.3841912
2006-04,-602.0416667
2006-05,-592.6991422
2006-06,-583.3566176
2006-07,-574.0140931
2006-08,-564.6715686
2006-09,-555.3290441
2006-10,-545.9865196
2006-11,-536.6439951
2006-12,-527.3014706
2007-01,-517.9589461
2007-02,-508.6164216
2007-03,-499.2738971
2007-04,-489.9313725
2007-05,-480.588848
2007-06,-471.2463235
2007-07,-461.903799
2007-08,-452.5612745
2007-09,-443.21875
2007-10,-433.8762255
2007-11,-424.533701
2007-12,-415.1911765
2008-01,-405.848652
2008-02,-396.5061275
2008-03,-387.1636029
2008-04,-377.8210784
2008-05,-368.4785539
2008-06,-359.1360294
2008-07,-349.7935049
2008-08,-340.4509804
2008-09,-331.1084559
2008-10,-321.7659314
2008-11,-312.4234069
2008-12,-303.0808824
2009-01,-293.7383578
2009-02,-284.3958333
2009-03,-275.0533088
2009-04,-265.7107843
2009-05,-256.3682598
2009-06,-247.0257353
2009-07,-237.6832108
2009-08,-228.3406863
2009-09,-218.9981618
2009-10,-209.6556373
2009-11,-200.3131127
2009-12,-190.9705882
2010-01,-181.6280637
2010-02,-172.2855392
2010-03,-162.9430147
2010-04,-153.6004902
2010-05,-144.2579657
2010-06,-134.9154412
2010-07,-125.5729167
2010-08,-116.2303922
2010-09,-106.8878676
2010-10,-97.54534314
2010-11,-88.20281863
2010-12,-78.86029412
2011-01,-69.51776961
2011-02,-60.1752451
2011-03,-50.83272059
2011-04,-41.49019608
2011-05,-32.14767157
2011-06,-22.80514706
2011-07,-13.46262255
2011-08,-4.120098039
2011-09,5.222426471
2011-10,14.56495098
2011-11,23.90747549
2011-12,33.25
2012-01,42.59252451
2012-02,51.93504902
2012-03,61.27757353
2012-04,70.62009804
2012-05,79.96262255
2012-06,89.30514706
2012-07,98.64767157
2012-08,107.9901961
2012-09,117.3327206
2012-10,126.6752451
2012-11,136.0177696
2012-12,145.3602941
2013-01,154.7028186
2013-02,164.0453431
2013-03,173.3878676
2013-04,182.7303922
2013-05,192.0729167
2013-06,201.4154412
2013-07,210.7579657
2013-08,220.1004902
2013-09,229.4430147
2013-10,238.7855392
2013-11,248.1280637
2013-12,257.4705882
2014-01,266.8131127
2014-02,276.1556373
2014-03,285.4981618
2014-04,294.8406863
2014-05,304.1832108
2014-06,313.5257353
2014-07,322.8682598
2014-08,332.2107843
2014-09,341.5533088
2014-10,350.8958333
2014-11,360.2383578
2014-12,369.5808824
2015-01,378.9234069
2015-02,388.2659314
2015-03,397.6084559
2015-04,406.9509804
2015-05,416.2935049
2015-06,425.6360294
2015-07,434.9785539
2015-08,444.3210784
2015-09,453.6636029
2015-10,463.0061275
2015-11,472.348652
2015-12,481.6911765
2016-01,491.033701
2016-02,500.3762255
2016-03,509.71875
2016-04,519.0612745
2016-05,528.403799
2016-06,537.7463235
2016-07,547.088848
2016-08,556.4313725
2016-09,565.7738971
2016-10,575.1164216
2016-11,584.4589461
2016-12,593.8014706
2017-01,603.1439951
2017-02,612.4865196
2017-03,621.8290441
2017-04,631.1715686
2017-05,640.5140931
2017-06,649.8566176
2017-07,659.1991422
2017-08,668.5416667
2017-09,677.8841912
2017-10,687.2267157
2017-11,696.5692402
2017-12,705.9117647
2018-01,715.2542892
2018-02,724.5968137
2018-03,733.9393382
2018-04,743.2818627
2018-05,752.6243873
2018-06,761.9669118
2018-07,771.3094363
2018-08,780.6519608
2018-09,789.9944853
2018-10,799.3370098
2018-11,808.6795343
2018-12,818.0220588
2019-01,827.3645833
2019-02,836.7071078
2019-03,846.0496324
2019-04,855.3921569
2019-05,864.7346814
2019-06,874.0772059
2019-07,883.4197304
2019-08,892.7622549
2019-09,902.1047794
2019-10,911.4473039
2019-11,920.7898284
2019-12,930.1323529
2020-01,939.4748775
2020-02,948.817402
2020-03,958.1599265
2020-04,967.502451
2020-05,976.8449755
2020-06,986.1875
2020-07,995.5300245
2020-08,1004.872549
2020-09,1014.215074
2020-10,1023.557598
2020-11,1032.900123
2020-12,1042.242647
2021-01,1051.585172
2021-02,1060.927696
2021-03,1070.270221
2021-04,1079.612745
2021-05,1088.95527
2021-06,1098.297794
2021-07,1107.640319
2021-08,1116.982843
2021-09,1126.325368
2021-10,1135.667892
2021-11,1145.010417
2021-12,1154.352941
2022-01,1163.695466
2022-02,1173.03799
2022-03,1182.380515
2022-04,1191.723039
2022-05,1201.065564
2022-06,1210.408088
2022-07,1219.750613
2022-08,1229.093137
2022-09,1238.435662
2022-10,1247.778186
2022-11,1257.120711
2022-12,1266.463235
2023-01,1275.80576
2023-02,1285.148284
2023-03,1294.490809
2023-04,1303.833333
2023-05,1313.175858
2023-06,1322.518382
2023-07,1331.860907
2023-08,1341.203431
2023-09,1350.545956
2023-10,1359.88848
2023-11,1369.231005
2023-12,1378.573529
2024-01,1387.916054
2024-02,1397.258578
2024-03,1406.601103
2024-04,1415.943627
2024-05,1425.286152
2024-06,1434.628676
2024-07,1443.971201
2024-08,1453.313725
2024-09,1462.65625
2024-10,1471.998775
2024-11,1481.341299
2024-12,1490.683824
