rufas_id,Fd_Category,feed_type,DM,CP,NDICP,ADICP,EE,NDF,ADF,lignin,ash,non_fiber_carb,PAF,TDN,N_A,N_B,N_C,Kd,dRUP,calcium,phosphorus,magnesium,potassium,sodium,chlorine,sulfur,DE,is_fat,is_wetforage,units,starch,limit,lower_limit
1,Plant Protein,Forage,90.3,19.2,3.1,2.4,2.5,41.6,32.8,7.6,11,28.8,1,56.45,27.8,66,6.2,6.7,75,1.47,0.28,0.29,2.37,0.1,0.65,0.26,2.6,FALSE,FALSE,kg,1.83,100,0
2,By-Product/Other,Conc,86.9,6.5,2.3,1.8,2.9,36.8,28.7,14.9,6.1,50,1,58.36,29.6,35.4,35,5.3,50,0.28,0.13,0.13,2.6,0.02,0.03,0.04,2.53,FALSE,FALSE,kg,0.928,100,0
3,By-Product/Other,Conc,35.9,7.7,3.7,3.1,5,52.5,43.2,15.4,2.6,35.9,1,57.09,41.7,53.3,5,7.4,80,0.2,0.14,0.09,0.3,0.04,0.03,0.07,2.48,FALSE,FALSE,kg,3.524,100,0
4,By-Product/Other,Conc,84.7,12.5,2.3,1.1,9.5,13.9,6.5,1.6,3.8,62.6,1.04,93.49,40.3,53.6,6.1,15.2,90,0.2,0.36,0.13,0.42,0.72,1.2,0.14,4.09,FALSE,FALSE,kg,51.667,100,0
5,By-Product/Other,Conc,68.3,15,0.6,0.5,2.2,8.9,3.1,0.1,2.8,71.7,1.04,89.4,40.3,53.6,6.1,15.2,90,0.14,0.2,0.05,0.23,0.85,0.94,0.17,3.96,FALSE,FALSE,kg,53.462,100,0
6,By-Product/Other,Conc,88.5,9.1,3.2,1.2,3.5,10,3.9,2.6,3.2,77.4,1.04,87.62,33.7,62.5,3.8,20,75,0.17,0.29,0.1,0.33,0.59,0.69,0.1,3.79,FALSE,FALSE,kg,47.632,100,0
7,By-Product/Other,Conc,90.1,9.7,1.9,0.5,10.6,12.7,6.5,2.6,3,65.9,1.04,95.04,40.3,53.6,6.1,15.2,90,0.23,0.29,0.13,0.46,0.68,1.2,0.13,4.11,FALSE,FALSE,kg,36.208,100,0
8,Energy Source,Conc,91,12.4,1.8,0.5,2.2,20.8,7.2,1.9,2.9,63.5,1.04,82.68,30.2,61.2,8.6,22.7,85,0.06,0.39,0.14,0.56,0.02,0.13,0.12,3.64,FALSE,FALSE,kg,56.666,100,0
11,By-Product/Other,Conc,90.5,20.1,3.7,1.1,2.3,47,21.8,3.4,7.4,26.9,1,66.39,56,44,0,4.5,80,0.24,0.51,0.18,1.19,0.04,0,0.29,3.06,FALSE,FALSE,kg,8.559,100,0
12,Grain Crop Forage,Forage,35.5,12,1.6,0.9,3.5,56.3,34.5,5.6,7.5,22.3,1,60.22,56.6,32.9,10.5,5.9,65,0.48,0.3,0.18,2.43,0.13,0.72,0.17,2.68,FALSE,TRUE,kg,23.868,100,0
15,By-Product/Other,Conc,88.3,10,5.5,0.6,1.1,45.8,23.1,1.6,7.3,41.3,1,69.11,4.5,90.5,5,2,80,0.91,0.09,0.23,0.96,0.31,0.18,0.3,3.03,FALSE,FALSE,kg,0.642,100,0
18,Grass/Legume Forage,Forage,87.1,10.4,4,0.9,2.7,73.3,36.8,6.5,8.1,9.5,1,52.89,36.7,51.7,11.6,8.1,65,0.49,0.27,0.19,1.8,0.17,0.67,0.48,2.35,FALSE,FALSE,kg,4.895,100,0
19,Grass/Legume Forage,Forage,87.3,13.7,5.3,1.2,2.7,76.9,36.2,5.4,6.5,5.5,1,55.34,36.7,51.7,11.6,8.1,65,0.39,0.22,0.15,1.4,0.14,0.54,0.38,2.49,FALSE,FALSE,kg,4.895,100,0
22,By-Product/Other,Conc,90.2,95.5,0,0,1.2,0,0,0,2.5,0.8,1,76.36,10.1,60.9,29,1.9,80,0.3,0.3,0.03,0.33,0.4,0.33,0.77,4.35,FALSE,FALSE,kg,0,100,0
23,By-Product/Other,Conc,90.2,95.5,0,0,1.2,0,0,0,2.5,0.8,1,65.86,10.1,60.9,29,1.9,80,0.3,0.3,0.03,0.33,0.4,0.33,0.77,3.76,FALSE,FALSE,kg,0,100,0
24,By-Product/Other,Conc,90.7,29.2,9.1,3.5,5.2,47.4,22.2,5,4.3,23,1,71.34,18.3,64.6,17.1,4.7,80,0.3,0.67,0.26,0.5,0.04,0.07,0.38,3.38,FALSE,FALSE,kg,6.45,100,0
25,By-Product/Other,Conc,21.8,28.4,9.3,2.9,5.2,47.1,23.1,4.7,4.9,23.7,1,71.56,48.3,42.5,9.2,4.6,85,0.35,0.59,0.21,0.47,0.01,0.12,0.33,3.38,FALSE,FALSE,kg,5.167,100,0
30,By-Product/Other,Conc,89.9,20.5,3.4,1.3,40.5,17.8,11.6,2.7,4.6,20,1,127.36,35.2,59.5,5.3,20.1,50,0.44,0.68,0.21,0.91,0.03,0,0.42,5.6,FALSE,FALSE,kg,2.419,100,0
31,By-Product/Other,Conc,90.3,37.8,6.3,2.4,5.4,29.8,20.5,9.5,7.4,25.9,1,69.88,23.2,70.4,6.4,10.4,75,0.75,1.1,0.53,1.41,0.07,0.04,0.73,3.44,FALSE,FALSE,kg,1.57,100,0
32,By-Product/Other,Conc,95.2,11.9,0,0,20.5,23.8,15.7,3.2,2.1,41.7,1.04,102.67,74.1,25.9,0,3.2,90,0.22,0.3,0.22,1.18,0.07,0,0.11,4.46,FALSE,FALSE,kg,11.166,100,0
33,By-Product/Other,Conc,85.8,6.9,0.4,0.3,4.9,24.2,22.2,0.9,7.2,57.2,1,79.85,41.7,53.3,5,7.4,80,1.92,0.12,0.12,1.1,0.06,0.08,0.1,3.44,FALSE,FALSE,kg,1.27,100,0
