DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.sold_heiferIII_oversupply_num (animals),AnimalModuleReporter.report_herd_statistics_data.bought_heifer_num (animals),AnimalModuleReporter.report_herd_statistics_data.sold_heiferII_num (animals),AnimalModuleReporter.report_herd_statistics_data.cow_herd_exit_num (animals),AnimalModuleReporter.report_herd_statistics_data.sold_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.GnRH_injection_num_h (injection),AnimalModuleReporter.report_herd_statistics_data.GnRH_injection_num (injection),AnimalModuleReporter.report_herd_statistics_data.PGF_injection_num (injection),AnimalModuleReporter.report_herd_statistics_data.PGF_injection_num_h (injection),AnimalModuleReporter.report_herd_statistics_data.ai_num (AI),AnimalModuleReporter.report_herd_statistics_data.ai_num_h (AI),AnimalModuleReporter.report_herd_statistics_data.preg_check_num (preg check),AnimalModuleReporter.report_herd_statistics_data.preg_check_num_h (preg check),AnimalModuleReporter.report_herd_statistics_data.num_heiferII_in_ed_period (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_in_ed_period (animals),AnimalModuleReporter.report_herd_statistics_data.sold_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.born_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.stillborn_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.daily_milk_production (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_fat_percent (unitless),AnimalModuleReporter.report_herd_statistics_data.herd_milk_fat_kg (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_protein_kg (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_protein_percent (percent),AnimalModuleReporter.report_herd_statistics_data.open_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.vwp_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.preg_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.milking_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.dry_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.avg_days_in_milk (day),AnimalModuleReporter.report_herd_statistics_data.avg_days_in_preg (day),AnimalModuleReporter.report_herd_statistics_data.avg_cow_body_weight (kg),AnimalModuleReporter.report_herd_statistics_data.avg_parity_num (unitless),AnimalModuleReporter.report_herd_statistics_data.avg_calving_interval (day),AnimalModuleReporter.report_herd_statistics_data.avg_breeding_to_preg_time (day),AnimalModuleReporter.report_herd_statistics_data.avg_heifer_culling_age (day),AnimalModuleReporter.report_herd_statistics_data.avg_cow_culling_age (day),AnimalModuleReporter.report_herd_statistics_data.avg_mature_body_weight (kg),AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_1 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_2 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_3 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_4 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_5 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_greater_than_5 (animals),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_1 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_2 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_3 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_4 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_5 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_greater_than_5 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_1 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_2 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_3 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_4 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_5 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_greater_than_5 (day),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for death (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for low production (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for lameness (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for injury (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for mastitis (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for disease (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for udder (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for unknown (unitless)
"Under construction, use the results with caution.",0,0,0,0,0,0,0,0,0,2,0,2,2,30,0,0,1,0,15051.35358224619,3.9,587.0027897076014,481.6433146318781,3.2,190,203,258,390,58,121.73333333333333,129.5581395348837,646.1802143263312,2.1629464285714284,372.61607142857144,0.0,0,0,743.2764271815637,0,158,122,105,63,0,0,125.0,0,61.0,0,0,0,698.1835443037975,1055.0737704918033,1409.0380952380951,1790.936507936508,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,3,0,0,0,1,3,2,30,0,4,5,0,15121.103562222688,3.9,589.7230389266848,483.87531399112606,3.2,195,199,254,395,54,121.19240506329113,128.2204724409449,646.1260386261765,2.1692650334075725,373.011135857461,0.2692307692307692,0,0,743.3441231702013,1,158,123,102,66,0,0,125.0,0,61.0,0,0,0,698.8101265822785,1055.178861788618,1409.2254901960785,1791.8939393939395,0,0,0,0,0,0,0,0,0,0
,0,22,0,0,0,0,2,0,0,0,1,4,4,30,0,1,1,0,15185.555302478739,3.9,592.2366567966708,485.9377696793197,3.2,196,199,253,394,55,121.01776649746193,128.65217391304347,646.2216807138677,2.1714922048997773,372.97772828507794,0.2692307692307692,0,0,743.250237919641,2,158,122,103,66,0,0,125.0,0,61.0,0,0,0,698.8101265822785,1055.3524590163934,1408.9223300970873,1791.8939393939395,0,0,0,0,0,0,0,0,0,0
,0,0,0,1,0,0,5,0,0,0,4,3,4,30,0,13,24,0,15254.850818408808,3.8999999999999995,594.9391819179434,488.1552261890819,3.2,219,217,252,417,54,115.33812949640287,129.1031746031746,643.9859597623229,2.112526539278132,374.02335456475583,0.775,0,1780.0,743.397114276958,3,181,121,104,65,0,0,125.0,0,61.0,0,0,0,698.5966850828729,1055.2892561983472,1409.4615384615386,1792.1076923076923,0,0,1,0,0,0,0,0,0,0
,0,1,0,1,1,0,2,0,0,0,1,5,0,26,0,1,2,0,15613.257690947607,3.9,608.9170499469567,499.62424611032344,3.2,220,216,250,418,52,116.0598086124402,128.952,644.1569047621138,2.119148936170213,373.8787234042553,0.906832298136646,0,670.0,743.5418951691939,4,179,121,105,65,0,0,125.0,0,61.0,0,0,0,698.586592178771,1055.5206611570247,1409.7714285714285,1792.1076923076923,0,0,0,0,0,0,0,0,1,0
,0,1,0,0,0,0,4,0,0,0,2,2,0,25,0,3,6,0,15755.601868052276,3.9,614.4684728540387,504.1792597776729,3.2,226,218,247,423,50,114.89598108747045,128.20242914979758,644.323265093241,2.1183932346723044,373.5602536997886,1.3987730061349692,0,0,743.4022859849636,5,181,122,103,67,0,0,125.0,0,61.0,0,0,0,698.9060773480663,1055.8196721311476,1409.378640776699,1791.0597014925372,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,1,2,3,23,0,1,2,0,15864.55796989372,3.9,618.7177608258551,507.6658550365991,3.2000000000000006,228,219,247,424,51,114.95990566037736,129.20242914979758,644.2498107978237,2.1136842105263156,373.6421052631579,1.6687116564417177,0,0,743.4602451974464,6,183,122,103,67,0,0,125.0,0,61.0,0,0,0,699.1475409836065,1055.8196721311476,1409.378640776699,1791.0597014925372,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,0,1,0,1,5,2,22,0,0,0,0,15997.377766821111,3.9,623.8977329060233,511.9160885382756,3.2,229,219,246,423,52,115.54137115839244,130.59349593495935,644.328620688369,2.1136842105263156,373.6421052631579,1.7621951219512195,0,0,743.4602451974464,7,183,122,103,67,0,0,125.0,0,61.0,0,0,0,699.1475409836065,1055.8196721311476,1409.378640776699,1791.0597014925372,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,3,3,0,0,1,2,5,21,0,0,3,0,16023.922539834712,3.9,624.9329790535537,512.7655212747109,3.2000000000000006,233,218,242,426,49,115.72769953051643,130.11570247933884,644.3546517279668,2.12,373.5705263157895,1.7621951219512195,0,0,743.4502118369411,8,182,123,102,67,1,0,125.0,0,61.0,0,0,0,699.3131868131868,1055.6829268292684,1409.4607843137255,1790.9850746268658,2115.0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,2,2,0,0,5,0,21,0,3,4,0,16151.127720893026,3.9,629.893981114828,516.8360870685768,3.2,237,220,241,430,48,115.65116279069767,130.5103734439834,644.1579267116915,2.1150627615062763,373.59832635983264,1.7621951219512195,0,0,743.4957618578932,9,184,124,102,67,1,0,125.0,0,61.0,0,0,0,699.6413043478261,1056.1854838709678,1409.4607843137255,1790.9850746268658,2115.0,0,0,0,0,0,0,0,0,0
