DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.202 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.216 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.51 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.66 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.167 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.byproducts_total (kg)
"Under construction, use the results with caution.",0,58.5,58.5,117.0,0.0,1345.2588554113336,1163.4432060939848,475.77306773919423,475.77306773919423,169.8715555665742,121.21043287823264,672.8506146269775,4424.180800055491,672.8506146269737,466.457848812331,208.04845646142903,192.9814551502343,192.9814551502343,27.932431654543716,27.932431654543716,259.5101778348249,1375.844256718141,259.5101778348245,642.15606,6141.47508,882.96429,2783.79036,481.61685,682.29057,11614.29321,1364.581139999995
,1,60.0,60.0,120.0,0.0,1345.2588554113336,1163.4432060939848,475.77306773919423,475.77306773919423,169.8715555665742,121.21043287823264,672.8506146269775,4424.180800055491,672.8506146269737,438.01529705548154,195.36257496987847,181.21429325082977,181.21429325082977,26.22923460243739,26.22923460243739,243.6863865034331,1291.9513142353276,243.68638650343277,650.38883,6220.21194,894.284345,2819.47998,487.791425,691.037885,11763.194405,1382.075769999995
,2,58.5,58.5,117.0,0.0,1348.605270474546,1166.3373434225766,476.9565828330728,476.9565828330728,170.2941216251975,121.51195136797949,674.5243723748058,4435.186224931251,674.5243723748019,568.851035136989,253.717629831011,235.3432379880906,235.3432379880906,34.06394104212648,34.06394104212648,316.4758266278352,1677.8588496562695,316.47582662783464,648.7422760000001,6204.464568,892.020334,2812.342056,486.55651,689.288422,11733.414166,1378.576843999995
,3,72.0,72.0,144.0,0.0,1355.2981006009704,1172.1256180797607,479.32361302083,479.32361302083,171.13925374244414,122.11498834747319,677.8718878704625,4457.197074682771,677.8718878704585,432.32678670411167,192.82539867156837,178.86086087094887,178.86086087094887,25.888595192016126,25.888595192016126,240.52162823715477,1275.1727257387647,240.52162823715443,686.613018,6566.654124000001,944.092587,2976.514308,514.959555,729.526071,12418.359663,1459.0521419999945
,4,73.5,73.5,147.0,0.0,1355.2981006009704,1172.1256180797607,479.32361302083,479.32361302083,171.13925374244414,122.11498834747319,677.8718878704625,4457.197074682771,677.8718878704585,426.6382763527418,190.28822237325826,176.50742849106794,176.50742849106794,25.54795578159486,25.54795578159486,237.3568699708764,1258.394137242202,237.3568699708761,688.259572,6582.401496,946.356598,2983.652232,516.19447,731.275534,12448.139902,1462.5510679999945
,5,75.0,75.0,150.0,0.0,1361.990930727395,1177.9138927369447,481.6906432085872,481.6906432085872,171.98438585969078,122.71802532696688,681.2194033661191,4479.20792443429,681.2194033661151,403.8842349472622,180.1395171800178,167.09369897154434,167.09369897154434,24.185398139909804,24.185398139909804,224.697836905763,1191.2797832559513,224.69783690576273,696.492342,6661.138356,957.676653,3019.341852,522.369045,740.022849,12597.041097000001,1480.0456979999944
,6,73.5,73.5,147.0,0.0,1365.3373457906073,1180.8080300655367,482.8741583024658,482.8741583024658,172.4069519183141,123.01954381671372,682.8931611139474,4490.21334931005,682.8931611139434,403.8842349472622,180.1395171800178,167.09369897154434,167.09369897154434,24.185398139909804,24.185398139909804,224.697836905763,1191.2797832559513,224.69783690576273,698.138896,6676.885728,959.940664,3026.479776,523.60396,741.7723119999999,12626.821336,1483.5446239999944
,7,72.0,72.0,144.0,0.0,1368.6837608538194,1183.7021673941288,484.05767339634434,484.05767339634434,172.8295179769374,123.32106230646058,684.5669188617757,4501.218774185811,684.5669188617717,409.5727452986321,182.67669347832793,169.44713135142524,169.44713135142524,24.52603755033107,24.52603755033107,227.86259517204135,1208.058371752514,227.86259517204107,696.492342,6661.138356,957.676653,3019.341852,522.369045,740.022849,12597.041097000001,1480.0456979999944
,8,76.5,76.5,153.0,0.0,1368.6837608538194,1183.7021673941288,484.05767339634434,484.05767339634434,172.8295179769374,123.32106230646058,684.5669188617757,4501.218774185811,684.5669188617717,392.50721424452246,175.0651645833976,162.3868342117825,162.3868342117825,23.504119319067275,23.504119319067275,218.3683203732063,1157.722606262826,218.36832037320605,701.432004,6708.380472,964.468686,3040.755624,526.07379,745.271238,12686.381813999998,1490.5424759999944
,9,78.0,78.0,156.0,0.0,1368.6837608538194,1183.7021673941288,484.05767339634434,484.05767339634434,172.8295179769374,123.32106230646058,684.5669188617757,4501.218774185811,684.5669188617717,369.75317283904286,164.91645939015714,152.9731046922589,152.9731046922589,22.141561677382214,22.141561677382214,205.70928730809288,1090.608252276575,205.70928730809268,708.01822,6771.36996,973.52473,3069.30732,531.01345,752.26909,12805.50277,1504.5381799999943
,10,79.5,79.5,159.0,0.0,1368.6837608538194,1183.7021673941288,484.05767339634434,484.05767339634434,172.8295179769374,123.32106230646058,684.5669188617757,4501.218774185811,684.5669188617717,369.75317283904286,164.91645939015714,152.9731046922589,152.9731046922589,22.141561677382214,22.141561677382214,205.70928730809288,1090.608252276575,205.70928730809268,708.01822,6771.36996,973.52473,3069.30732,531.01345,752.26909,12805.50277,1504.5381799999943
,11,81.0,81.0,162.0,0.0,1368.6837608538194,1183.7021673941288,484.05767339634434,484.05767339634434,172.8295179769374,123.32106230646058,684.5669188617757,4501.218774185811,684.5669188617717,375.4416831904128,167.45363568846727,155.32653707213979,155.32653707213979,22.482201087803478,22.482201087803478,208.87404557437125,1107.3868407731377,208.87404557437102,706.371666,6755.622588,971.260719,3062.169396,529.778535,750.519627,12775.722531,1501.0392539999943
,12,85.5,85.5,171.0,0.0,1368.6837608538194,1183.7021673941288,484.05767339634434,484.05767339634434,172.8295179769374,123.32106230646058,684.5669188617757,4501.218774185811,684.5669188617717,346.9991314335633,154.7677541969167,143.55937517273526,143.55937517273526,20.779004035697156,20.779004035697156,193.0502542429795,1023.4938982903244,193.05025424297932,716.25099,6850.10682,984.844785,3104.99694,537.188025,761.016405,12954.403965,1522.0328099999942
,13,87.0,87.0,174.0,0.0,1368.6837608538194,1183.7021673941288,484.05767339634434,484.05767339634434,172.8295179769374,123.32106230646058,684.5669188617757,4501.218774185811,684.5669188617717,329.93360037945365,147.15622530198638,136.49907803309256,136.49907803309256,19.75708580443336,19.75708580443336,183.55597944414444,973.1581328006364,183.5559794441443,721.190652,6897.348936,991.636818,3126.410712,540.89277,766.264794,13043.744682,1532.5295879999942
,14,87.0,87.0,174.0,0.0,1372.0301759170318,1186.5963047227208,485.24118849022295,485.24118849022295,173.25208403556073,123.62258079620742,686.240676609604,4512.22419906157,686.2406766096,318.55657967671385,142.08187270536615,131.79221327333073,131.79221327333073,19.07580698359083,19.07580698359083,177.22646291158773,939.6009558075109,177.22646291158762,722.837206,6913.096308,993.900829,3133.548636,542.127685,768.014257,13073.524921,1536.0285139999942
,15,88.5,88.5,177.0,0.0,1372.0301759170318,1186.5963047227208,485.24118849022295,485.24118849022295,173.25208403556073,123.62258079620742,686.240676609604,4512.22419906157,686.2406766096,312.868069325344,139.54469640705605,129.43878089344983,129.43878089344983,18.735167573169566,18.735167573169566,174.06170464530936,922.822367310948,174.06170464530928,724.4837600000001,6928.84368,996.16484,3140.68656,543.3626,769.76372,13103.305160000002,1539.5274399999942
,16,90.0,90.0,180.0,0.0,1372.0301759170318,1186.5963047227208,485.24118849022295,485.24118849022295,173.25208403556073,123.62258079620742,686.240676609604,4512.22419906157,686.2406766096,301.4910486226042,134.47034381043582,124.73191613368802,124.73191613368802,18.053888752327037,18.053888752327037,167.73218811275268,889.2651903178228,167.7321881127526,726.130314,6944.591052,998.428851,3147.8244839999998,544.597515,771.513183,13133.085399,1543.0263659999941
,17,90.0,90.0,180.0,0.0,1368.6837608538194,1183.7021673941288,484.05767339634434,484.05767339634434,172.8295179769374,123.32106230646058,684.5669188617757,4501.218774185811,684.5669188617717,312.868069325344,139.54469640705605,129.43878089344983,129.43878089344983,18.735167573169566,18.735167573169566,174.06170464530936,922.822367310948,174.06170464530928,724.4837600000001,6928.84368,996.16484,3140.68656,543.3626,769.76372,13103.305160000002,1539.5274399999942
