DISCLAIMER,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.simulation day (simulation day),RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.attempt number (unitless),RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.constraints_failed_dict (unitless),RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.ration_attempted (unitless),"RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.pen requirements ({'maintenance_energy': 'Mcal', 'growth_energy': 'Mcal', 'pregnancy_energy': 'Mcal', 'lactation_energy': 'Mcal', 'metabolizable_protein': 'g', 'calcium': 'g', 'phosphorus': 'g', 'process_based_phosphorus': 'g', 'dry_matter': 'kg', 'activity_energy': 'Mcal'})",RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.initial_dry_matter_requirement (kg),RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.initial_protein_requirement (g)
"Under construction, use the results with caution.",0,1,['protein_constraint_lower'],"{44: np.float64(1.829504), 51: np.float64(14.43593), 66: np.float64(2.515568), 110: np.float64(6.489022), 167: np.float64(1.372128), 301: np.float64(1.943848)}","NutritionRequirements(maintenance_energy=np.float64(12.544244610878344), growth_energy=0.6428408133846828, pregnancy_energy=np.float64(3.094860202999791), lactation_energy=28.68898398694429, metabolizable_protein=np.float64(2587.126622277396), calcium=np.float64(62.73823197086452), phosphorus=np.float64(59.806444129245705), process_based_phosphorus=0.0, dry_matter=np.float64(23.624793489385436), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.61637653587535, isoleucine=135.1445395740465, leucine=231.6230663471473, lysine=198.82677978855577, methionine=63.88687878638096, phenylalanine=140.8117305315894, threonine=128.49427589993363, thryptophan=31.364260724592782, valine=151.46469655050987))",23.624793489385436,2587.126622277396
,30,1,['protein_constraint_lower'],"{44: np.float64(1.846011), 51: np.float64(14.566184), 66: np.float64(2.538266), 110: np.float64(6.547572), 167: np.float64(1.384509), 301: np.float64(1.961387)}","NutritionRequirements(maintenance_energy=np.float64(12.587818121674108), growth_energy=np.float64(0.6763189657943937), pregnancy_energy=np.float64(3.5886386041863583), lactation_energy=28.709516488156023, metabolizable_protein=np.float64(2635.950609697719), calcium=np.float64(63.138051198103476), phosphorus=np.float64(60.02742583581897), process_based_phosphorus=np.float64(35.67046701302576), dry_matter=np.float64(23.837957649842885), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=69.07789995442965, isoleucine=136.97540089231842, leucine=235.63103971779117, lysine=202.624610388462, methionine=65.02117166276632, phenylalanine=142.98243993759874, threonine=130.87640968818033, thryptophan=31.87932193003188, valine=153.98218957996036))",23.837957649842885,2635.950609697719
,60,1,['protein_constraint_lower'],"{44: np.float64(1.878971), 51: np.float64(14.826257), 66: np.float64(2.583585), 110: np.float64(6.664476), 167: np.float64(1.409228), 301: np.float64(1.996407)}","NutritionRequirements(maintenance_energy=np.float64(12.691988035266792), growth_energy=np.float64(0.6710348304002841), pregnancy_energy=np.float64(3.749940266950283), lactation_energy=28.807061649756662, metabolizable_protein=np.float64(2665.644634262171), calcium=np.float64(63.66474709635336), phosphorus=np.float64(60.58387731501777), process_based_phosphorus=np.float64(36.405922586946886), dry_matter=np.float64(24.263574906473277), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=69.91071386310308, isoleucine=138.23600586488226, leucine=238.05038046431523, lysine=204.80520150111303, methionine=65.66000844470291, phenylalanine=144.40884006042575, threonine=132.42135561354274, thryptophan=32.210904696631296, valine=155.57388587381575))",24.263574906473277,2665.644634262171
,390,1,['protein_constraint_lower'],"{44: np.float64(1.821335), 51: np.float64(14.371469), 66: np.float64(2.504335), 110: np.float64(6.460047), 167: np.float64(1.366001), 301: np.float64(1.935168)}","NutritionRequirements(maintenance_energy=np.float64(12.531010313097436), growth_energy=np.float64(0.5473374062935044), pregnancy_energy=np.float64(2.8622513570764108), lactation_energy=28.346471027941725, metabolizable_protein=np.float64(2543.2625970862623), calcium=np.float64(61.9840303377773), phosphorus=np.float64(59.199848311743054), process_based_phosphorus=np.float64(34.303968988187265), dry_matter=np.float64(23.51930155987097), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=66.3583888558757, isoleucine=133.014886884781, leucine=227.6303957763147, lysine=195.25621531555524, methionine=62.75193200710979, phenylalanine=138.51023758772436, threonine=126.30846370485075, thryptophan=30.841373755716685, valine=148.91848643053686))",23.51930155987097,2543.2625970862623
,420,1,['protein_constraint_lower'],"{44: np.float64(1.817577), 51: np.float64(14.341819), 66: np.float64(2.499168), 110: np.float64(6.446719), 167: np.float64(1.363183), 301: np.float64(1.931176)}","NutritionRequirements(maintenance_energy=np.float64(12.465275756209419), growth_energy=np.float64(0.5584017391220311), pregnancy_energy=np.float64(3.1561142529974315), lactation_energy=28.34570716228725, metabolizable_protein=np.float64(2567.7863809137266), calcium=np.float64(61.832735567960945), phosphorus=np.float64(59.15131872358989), process_based_phosphorus=np.float64(34.587730105000816), dry_matter=np.float64(23.47077812353101), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.14152441170214, isoleucine=133.95589102697915, leucine=229.75950550922846, lysine=197.29711996558552, methionine=63.367552886211946, phenylalanine=139.63617795916295, threonine=127.53738217443333, thryptophan=31.109769940795392, valine=150.23727188114424))",23.47077812353101,2567.7863809137266
,450,1,['protein_constraint_lower'],"{44: np.float64(1.836423), 51: np.float64(14.490522), 66: np.float64(2.525081), 110: np.float64(6.513561), 167: np.float64(1.377317), 301: np.float64(1.951199)}","NutritionRequirements(maintenance_energy=np.float64(12.4016949379401), growth_energy=np.float64(0.5781010598993763), pregnancy_energy=np.float64(3.6374799535628517), lactation_energy=28.730129929176265, metabolizable_protein=np.float64(2637.185773052618), calcium=np.float64(62.895885182170545), phosphorus=np.float64(59.85688759977572), process_based_phosphorus=np.float64(35.14896566329829), dry_matter=np.float64(23.714134805364363), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=69.2088004151514, isoleucine=137.162799996936, leucine=236.01931367194717, lysine=202.98710206066065, methionine=65.13695644598359, phenylalanine=143.19166169713355, threonine=131.079503467508, thryptophan=31.928249865589443, valine=154.22153998039875))",23.714134805364363,2637.185773052618
,480,1,['protein_constraint_lower'],"{44: np.float64(1.843663), 51: np.float64(14.547656), 66: np.float64(2.535037), 110: np.float64(6.539243), 167: np.float64(1.382747), 301: np.float64(1.958892)}","NutritionRequirements(maintenance_energy=np.float64(12.436109566608353), growth_energy=np.float64(0.5699945796347464), pregnancy_energy=np.float64(3.118676028724661), lactation_energy=28.529230846710902, metabolizable_protein=np.float64(2579.4764056104514), calcium=np.float64(62.801415765655214), phosphorus=np.float64(59.748457521980214), process_based_phosphorus=np.float64(35.0897867708737), dry_matter=np.float64(23.807635445488348), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.47818969701328, isoleucine=134.73265742969454, leucine=230.97439899034316, lysine=198.2918911413246, methionine=63.68069922365129, phenylalanine=140.42710362230446, threonine=128.2681650579064, thryptophan=31.284403236205545, valine=151.06565016347272))",23.807635445488348,2579.4764056104514
,780,1,['protein_constraint_lower'],"{44: np.float64(1.809142), 51: np.float64(14.27526), 66: np.float64(2.48757), 110: np.float64(6.4168), 167: np.float64(1.356856), 301: np.float64(1.922213)}","NutritionRequirements(maintenance_energy=np.float64(12.510900176082579), growth_energy=np.float64(0.49481035358606745), pregnancy_energy=np.float64(2.9626964656058785), lactation_energy=27.77617743625994, metabolizable_protein=np.float64(2514.490729418927), calcium=np.float64(61.69176539122814), phosphorus=np.float64(58.33710396071649), process_based_phosphorus=np.float64(32.615069127670424), dry_matter=np.float64(23.361853300031264), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=65.61355867400604, isoleucine=131.10730436162314, leucine=224.65460754141512, lysine=192.81895463588842, methionine=61.914577164997496, phenylalanine=136.63633796211604, threonine=124.81795809146027, thryptophan=30.43692180095118, valine=146.9656534031969))",23.361853300031264,2514.490729418927
,810,1,['protein_constraint_lower'],"{44: np.float64(1.827193), 51: np.float64(14.417692), 66: np.float64(2.51239), 110: np.float64(6.480824), 167: np.float64(1.370394), 301: np.float64(1.941392)}","NutritionRequirements(maintenance_energy=np.float64(12.482876001622468), growth_energy=np.float64(0.5159798916323923), pregnancy_energy=np.float64(3.2000096380730176), lactation_energy=28.197698988235448, metabolizable_protein=np.float64(2564.5745803852838), calcium=np.float64(62.55696178362056), phosphorus=np.float64(59.089877868123175), process_based_phosphorus=np.float64(34.86785186853395), dry_matter=np.float64(23.594945814539557), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.06718063719124, isoleucine=133.63143164280834, leucine=229.30780415092818, lysine=196.95030086444456, methionine=63.22469665643299, phenylalanine=139.3500849874839, threonine=127.39599749001555, thryptophan=31.0522020159729, valine=149.95297990181606))",23.594945814539557,2564.5745803852838
,840,1,['protein_constraint_lower'],"{44: np.float64(1.831287), 51: np.float64(14.450001), 66: np.float64(2.51802), 110: np.float64(6.495347), 167: np.float64(1.373465), 301: np.float64(1.945743)}","NutritionRequirements(maintenance_energy=np.float64(12.494878973370577), growth_energy=np.float64(0.5077986857686017), pregnancy_energy=np.float64(3.401871506947445), lactation_energy=28.270056612749144, metabolizable_protein=np.float64(2588.3264911642655), calcium=np.float64(62.27053132025749), phosphorus=np.float64(59.18775231817851), process_based_phosphorus=np.float64(33.69730355153724), dry_matter=np.float64(23.647820806424523), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.77056834725549, isoleucine=134.61802326152286, leucine=231.341153539102, lysine=198.83694298678114, methionine=63.8018056018597, phenylalanine=140.47691754386454, threonine=128.56624668278283, thryptophan=31.315144137795155, valine=151.23665013169764))",23.647820806424523,2588.3264911642655
