DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.sold_heiferIII_oversupply_num (animals),AnimalModuleReporter.report_herd_statistics_data.bought_heifer_num (animals),AnimalModuleReporter.report_herd_statistics_data.sold_heiferII_num (animals),AnimalModuleReporter.report_herd_statistics_data.cow_herd_exit_num (animals),AnimalModuleReporter.report_herd_statistics_data.sold_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.GnRH_injection_num_h (injection),AnimalModuleReporter.report_herd_statistics_data.GnRH_injection_num (injection),AnimalModuleReporter.report_herd_statistics_data.PGF_injection_num (injection),AnimalModuleReporter.report_herd_statistics_data.PGF_injection_num_h (injection),AnimalModuleReporter.report_herd_statistics_data.ai_num (AI),AnimalModuleReporter.report_herd_statistics_data.ai_num_h (AI),AnimalModuleReporter.report_herd_statistics_data.preg_check_num (preg check),AnimalModuleReporter.report_herd_statistics_data.preg_check_num_h (preg check),AnimalModuleReporter.report_herd_statistics_data.num_heiferII_in_ed_period (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_in_ed_period (animals),AnimalModuleReporter.report_herd_statistics_data.sold_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.born_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.stillborn_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.daily_milk_production (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_fat_percent (unitless),AnimalModuleReporter.report_herd_statistics_data.herd_milk_fat_kg (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_protein_kg (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_protein_percent (percent),AnimalModuleReporter.report_herd_statistics_data.open_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.vwp_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.preg_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.milking_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.dry_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.avg_days_in_milk (day),AnimalModuleReporter.report_herd_statistics_data.avg_days_in_preg (day),AnimalModuleReporter.report_herd_statistics_data.avg_cow_body_weight (kg),AnimalModuleReporter.report_herd_statistics_data.avg_parity_num (unitless),AnimalModuleReporter.report_herd_statistics_data.avg_calving_interval (day),AnimalModuleReporter.report_herd_statistics_data.avg_breeding_to_preg_time (day),AnimalModuleReporter.report_herd_statistics_data.avg_heifer_culling_age (day),AnimalModuleReporter.report_herd_statistics_data.avg_cow_culling_age (day),AnimalModuleReporter.report_herd_statistics_data.avg_mature_body_weight (kg),AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_1 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_2 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_3 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_4 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_5 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_greater_than_5 (animals),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_1 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_2 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_3 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_4 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_5 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_greater_than_5 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_1 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_2 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_3 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_4 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_5 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_greater_than_5 (day),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for death (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for low production (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for lameness (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for injury (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for mastitis (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for disease (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for udder (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for unknown (unitless)
"Under construction, use the results with caution.",0,0,0,0,0,0,0,0,0,0,0,3,4,40,0,1,3,0,15110.989464112683,3.9,589.3285891003947,483.5516628516059,3.2,182,189,266,392,56,126.3545918367347,128.68421052631578,641.9171597048979,2.1674107142857144,377.14955357142856,0.0,0,0,737.4131896058394,0,158,121,105,64,0,0,0,0,0,0,0,0,697.2974683544304,1059.297520661157,1433.142857142857,1787.875,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,3,0,0,0,2,5,1,40,0,5,5,0,15171.249416228591,3.8999999999999995,591.678727232915,485.4799813193149,3.2,187,189,263,397,53,125.7632241813602,127.9809885931559,641.996573506619,2.168888888888889,377.32666666666665,0.2972972972972973,0,0,737.4131896058394,1,158,123,104,65,0,0,0,0,0,0,0,0,697.3544303797469,1059.439024390244,1433.0576923076924,1789.2923076923078,0,0,0,0,0,0,0,0,0,0
,0,22,0,0,0,0,3,0,0,0,1,2,5,38,0,0,0,0,15198.326830205844,3.9,592.7347463780279,486.346458566587,3.2,187,189,263,394,56,125.32994923857868,128.9809885931559,642.1507646011464,2.168888888888889,377.32666666666665,0.5850340136054422,0,0,737.4869959560774,2,158,123,104,65,0,0,0,0,0,0,0,0,697.3544303797469,1059.439024390244,1433.0576923076924,1789.2923076923078,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,0,0,0,1,5,2,38,0,18,26,1,15208.987386578561,3.9,593.1505080765639,486.68759637051403,3.2000000000000006,213,215,262,419,56,118.15513126491646,129.44656488549617,640.2157173512916,2.1094736842105264,378.14947368421053,0.7162162162162162,0,0,737.403435555348,3,183,122,105,65,0,0,0,0,0,0,0,0,697.1475409836065,1059.327868852459,1432.8761904761905,1789.2923076923078,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,3,0,0,0,2,4,2,37,0,1,2,0,15658.931489757484,3.9,610.6983281005419,501.0858076722395,3.2,216,216,260,421,55,118.59382422802851,130.15384615384616,640.2953337110996,2.1092436974789917,378.13655462184875,1.0335570469798658,0,0,737.4865928946427,4,184,121,106,65,0,0,0,0,0,0,0,0,697.0380434782609,1059.2644628099174,1432.9622641509434,1789.2923076923078,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,0,0,0,1,5,1,36,0,3,4,0,15809.588520203224,3.9,616.5739522879257,505.90683264650323,3.2,221,212,255,425,51,118.47764705882354,129.10980392156864,640.3670367511656,2.1176470588235294,377.8151260504202,1.0476190476190477,0,0,737.5516138406524,5,182,123,104,67,0,0,0,0,0,0,0,0,697.3351648351648,1058.4146341463415,1432.4615384615386,1789.5223880597016,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,1,10,3,36,0,3,4,0,15892.019459836984,3.9,619.7887589336424,508.5446227147835,3.2,225,211,252,427,50,117.38173302107728,128.38888888888889,640.3076246357098,2.1215932914046123,377.664570230608,1.195945945945946,0,0,737.5365277967288,6,182,124,102,69,0,0,0,0,0,0,0,0,697.7087912087912,1058.3387096774193,1432.450980392157,1789.0289855072465,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,5,0,2,0,0,6,1,35,0,1,1,0,15989.207932256697,3.8999999999999995,623.5791093580111,511.6546538322143,3.2,227,212,251,426,52,117.03051643192488,129.76892430278883,640.36780217578,2.1192468619246863,377.6966527196653,1.195945945945946,0,0,737.5365277967288,7,183,124,102,69,0,0,0,0,0,0,0,0,697.6065573770492,1058.3387096774193,1432.450980392157,1789.0289855072465,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,6,3,0,0,2,1,1,35,0,1,3,0,16109.991566143892,3.9,628.2896710796118,515.5197301166046,3.2,230,213,250,429,51,117.21212121212122,130.212,640.3980811246091,2.1166666666666667,377.72083333333336,1.8666666666666667,0,0,737.7125387785721,8,185,124,102,68,1,0,0,0,0,0,0,0,697.6108108108108,1058.3387096774193,1432.450980392157,1789.25,2115.0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,3,3,0,3,2,2,33,0,0,2,0,16197.683295622897,3.900000000000001,631.7096485292931,518.3258654599327,3.2,232,212,249,431,50,117.66821345707656,130.63855421686748,640.2867115455487,2.1164241164241164,377.66112266112265,2.2941176470588234,0,0,737.6495696924433,9,186,124,101,69,1,0,0,0,0,0,0,0,697.7150537634409,1058.3387096774193,1432.3267326732673,1789.6521739130435,2115.0,0,0,0,0,0,0,0,0,0
