DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.202 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.216 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.51 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.66 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.167 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.byproducts_total (kg)
"Under construction, use the results with caution.",0,61.5,61.5,123.0,0.0,1339.8497018336575,1158.7651153641957,473.86003101680325,473.86003101680325,169.18851874519052,120.72305764630786,670.1451484672782,4406.391604090236,670.1451484672771,452.3510364125036,201.75656845301046,187.1452296662349,187.1452296662349,27.08768743119122,27.08768743119122,251.6619630306731,1334.2354020910393,251.66196303067352,647.472672,5945.495752,890.274728,2806.8383839999997,485.604504,687.939616,11463.625656,1375.8792320000082
,1,61.5,61.5,123.0,0.0,1339.8497018336575,1158.7651153641957,473.86003101680325,473.86003101680325,169.18851874519052,120.72305764630786,670.1451484672782,4406.391604090236,670.1451484672771,424.07909663672217,189.1467829246973,175.44865281209522,175.44865281209522,25.39470696674177,25.39470696674177,235.93309034125602,1250.8456894603494,235.9330903412564,655.731252,6021.331157,901.630273,2842.639894,491.79843900000003,696.714356,11609.845371000001,1393.4287120000083
,2,60.0,60.0,120.0,0.0,1339.8497018336575,1158.7651153641957,473.86003101680325,473.86003101680325,169.18851874519052,120.72305764630786,670.1451484672782,4406.391604090236,670.1451484672771,571.0931834707858,254.71766767192568,236.2708524536216,236.2708524536216,34.198205381878914,34.198205381878914,317.7232283262248,1684.4721951399374,317.72322832622547,650.776104,5975.829914,894.816946,2821.1589879999997,488.082078,691.449512,11522.113542,1382.8990240000082
,3,70.5,70.5,141.0,0.0,1339.8497018336575,1158.7651153641957,473.86003101680325,473.86003101680325,169.18851874519052,120.72305764630786,670.1451484672782,4406.391604090236,670.1451484672771,429.73348459187844,191.66874003035994,177.78796818292318,177.78796818292318,25.73330305963166,25.73330305963166,239.07886487913945,1267.5236319864875,239.07886487913981,692.069004,6355.006939,951.5946710000001,3000.166538,519.0517530000001,735.323212,12253.212117,1470.646424000009
,4,69.0,69.0,138.0,0.0,1346.5322439874415,1164.5444924981819,476.2234226926975,476.2234226926975,170.0323517563885,121.3251676595064,673.4875182850701,4428.368619571984,673.487518285069,418.42470868156585,186.62482581903467,173.1093374412673,173.1093374412673,25.05611087385188,25.05611087385188,232.78731580337262,1234.1677469342114,232.78731580337296,695.372436,6385.341101,956.136889,3014.487142,521.5293270000001,738.8331079999999,12311.700003,1477.666216000009
,5,67.5,67.5,135.0,0.0,1346.5322439874415,1164.5444924981819,476.2234226926975,476.2234226926975,170.0323517563885,121.3251676595064,673.4875182850701,4428.368619571984,673.487518285069,407.11593277125326,181.5809116077094,168.43070669961142,168.43070669961142,24.378918688072098,24.378918688072098,226.49576672760577,1200.8118618819353,226.4957667276061,701.9793,6446.009425,965.221325,3043.12835,526.4844750000001,745.8529,12428.675775,1491.705800000009
,6,69.0,69.0,138.0,0.0,1346.5322439874415,1164.5444924981819,476.2234226926975,476.2234226926975,170.0323517563885,121.3251676595064,673.4875182850701,4428.368619571984,673.487518285069,395.80715686094067,176.53699739638415,163.75207595795555,163.75207595795555,23.701726502292317,23.701726502292317,220.20421765183895,1167.4559768296594,220.20421765183926,705.282732,6476.343586999999,969.763543,3057.448954,528.962049,749.362796,12487.163660999999,1498.725592000009
,7,66.0,66.0,132.0,0.0,1353.2147861412252,1170.3238696321678,478.58681436859183,478.58681436859183,170.87618476758644,121.92727767270495,676.829888102862,4450.34563505373,676.8298881028609,401.461544816097,179.0589545020468,166.0913913287835,166.0913913287835,24.040322595182207,24.040322595182207,223.34999218972237,1184.1339193557976,223.34999218972268,703.6310159999999,6461.176506,967.492434,3050.2886519999997,527.7232620000001,747.607848,12457.919718,1495.215696000009
,8,69.0,69.0,138.0,0.0,1353.2147861412252,1170.3238696321678,478.58681436859183,478.58681436859183,170.87618476758644,121.92727767270495,676.829888102862,4450.34563505373,676.8298881028609,384.4983809506281,171.49308318505888,159.07344521629966,159.07344521629966,23.024534316512536,23.024534316512536,213.91266857607212,1134.1000917773836,213.9126685760724,708.5861639999999,6506.6777489999995,974.3057610000001,3071.769558,531.439623,752.872692,12545.651547000001,1505.7453840000092
,9,70.5,70.5,141.0,0.0,1356.556057218117,1173.2135581991608,479.76851020653896,479.76851020653896,171.2981012731854,122.22833267930422,678.501073011758,4461.334142794603,678.5010730117568,373.1896050403155,166.44916897373363,154.3948144746438,154.3948144746438,22.347342130732756,22.347342130732756,207.6211195003053,1100.7442067251075,207.62111950030555,711.889596,6537.011911,978.847979,3086.090162,533.917197,756.3825879999999,12604.139433,1512.7651760000092
