DISCLAIMER,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.simulation day (simulation day),RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.attempt number (unitless),RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.constraints_failed_dict (unitless),RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.ration_attempted (unitless),"RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.pen requirements ({'maintenance_energy': 'Mcal', 'growth_energy': 'Mcal', 'pregnancy_energy': 'Mcal', 'lactation_energy': 'Mcal', 'metabolizable_protein': 'g', 'calcium': 'g', 'phosphorus': 'g', 'process_based_phosphorus': 'g', 'dry_matter': 'kg', 'activity_energy': 'Mcal'})",RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.initial_dry_matter_requirement (kg),RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.initial_protein_requirement (g)
"Under construction, use the results with caution.",0,1,['protein_constraint_lower'],"{44: np.float64(1.83524), 51: np.float64(14.481188), 66: np.float64(2.523455), 110: np.float64(6.509366), 167: np.float64(1.37643), 301: np.float64(1.949942)}","NutritionRequirements(maintenance_energy=np.float64(12.491835680450304), growth_energy=0.6409215101595218, pregnancy_energy=np.float64(2.7484610331710617), lactation_energy=28.80566463653418, metabolizable_protein=np.float64(2562.685196720134), calcium=np.float64(63.05301569255885), phosphorus=np.float64(60.04740977427633), process_based_phosphorus=0.0, dry_matter=np.float64(23.69885967067133), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=66.87608827874641, isoleucine=134.45755314878855, leucine=229.80177702163658, lysine=196.99917299418158, methionine=63.35758524087237, phenylalanine=139.90641766036612, threonine=127.39149433802679, thryptophan=31.140276102902117, valine=150.35662441226557))",23.69885967067133,2562.685196720134
,30,1,['protein_constraint_lower'],"{44: np.float64(1.836825), 51: np.float64(14.493699), 66: np.float64(2.525635), 110: np.float64(6.51499), 167: np.float64(1.377619), 301: np.float64(1.951627)}","NutritionRequirements(maintenance_energy=np.float64(12.547873859188098), growth_energy=np.float64(0.6660925972546401), pregnancy_energy=np.float64(3.521548213534201), lactation_energy=28.522295480508305, metabolizable_protein=np.float64(2615.754746358705), calcium=np.float64(62.57661380716098), phosphorus=np.float64(59.67700581655209), process_based_phosphorus=np.float64(35.45265544253889), dry_matter=np.float64(23.71933423315912), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=68.52461993791265, isoleucine=135.96360602403342, leucine=233.81502861577502, lysine=201.03139718985676, methionine=64.5129613896397, phenylalanine=141.90783471532455, threonine=129.8725067869254, thryptophan=31.6373391674884, valine=152.80925247351374))",23.71933423315912,2615.754746358705
,60,1,['protein_constraint_lower'],"{44: np.float64(1.865465), 51: np.float64(14.719687), 66: np.float64(2.565015), 110: np.float64(6.616572), 167: np.float64(1.399099), 301: np.float64(1.982057)}","NutritionRequirements(maintenance_energy=np.float64(12.645133238659213), growth_energy=np.float64(0.6530249981942777), pregnancy_energy=np.float64(3.5642310855614316), lactation_energy=28.71559366059187, metabolizable_protein=np.float64(2639.7402565615935), calcium=np.float64(63.311999856610655), phosphorus=np.float64(60.28640887853628), process_based_phosphorus=np.float64(35.498904653047816), dry_matter=np.float64(24.08916873816178), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=69.16590002290657, isoleucine=137.14701285988346, leucine=235.8743533805708, lysine=202.8103435139036, methionine=65.05480073571005, phenylalanine=143.17568278682384, threonine=131.1354298415046, thryptophan=31.924300170439874, valine=154.18196471520434))",24.08916873816178,2639.7402565615935
,390,1,['protein_constraint_lower'],"{44: np.float64(1.8124), 51: np.float64(14.300967), 66: np.float64(2.49205), 110: np.float64(6.428355), 167: np.float64(1.3593), 301: np.float64(1.925675)}","NutritionRequirements(maintenance_energy=np.float64(12.414784192085637), growth_energy=np.float64(0.5631323576880616), pregnancy_energy=np.float64(3.2679974972434436), lactation_energy=28.251422587126157, metabolizable_protein=np.float64(2570.1797186180333), calcium=np.float64(61.67736552162557), phosphorus=np.float64(59.022737320233915), process_based_phosphorus=np.float64(32.43302355688186), dry_matter=np.float64(23.40392207191199), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.2596741310534, isoleucine=133.92664200883686, leucine=229.92405920339476, lysine=197.52666285033501, methionine=63.421734384106564, phenylalanine=139.66902909107367, threonine=127.6607368328291, thryptophan=31.12467258787546, valine=150.3175188947593))",23.40392207191199,2570.1797186180333
,420,1,['protein_constraint_lower'],"{44: np.float64(1.836806), 51: np.float64(14.493545), 66: np.float64(2.525608), 110: np.float64(6.51492), 167: np.float64(1.377604), 301: np.float64(1.951606)}","NutritionRequirements(maintenance_energy=np.float64(12.432168365077175), growth_energy=np.float64(0.5435236468146105), pregnancy_energy=np.float64(3.5295334486116943), lactation_energy=29.061630261665172, metabolizable_protein=np.float64(2648.6802379207866), calcium=np.float64(63.17232278781475), phosphorus=np.float64(60.20932324000028), process_based_phosphorus=np.float64(35.355245825685856), dry_matter=np.float64(23.71908170393442), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=69.47146505038778, isoleucine=138.05118183607496, leucine=237.28799908029472, lysine=203.97410837408262, methionine=65.50070522996899, phenylalanine=144.01954853344873, threonine=131.64529882606192, thryptophan=32.10117974984025, valine=155.05741965245736))",23.71908170393442,2648.6802379207866
,450,1,['protein_constraint_lower'],"{44: np.float64(1.825453), 51: np.float64(14.403965), 66: np.float64(2.509998), 110: np.float64(6.474653), 167: np.float64(1.36909), 301: np.float64(1.939544)}","NutritionRequirements(maintenance_energy=np.float64(12.415831656939597), growth_energy=np.float64(0.5341244173311582), pregnancy_energy=np.float64(3.058645671502372), lactation_energy=28.616092961474447, metabolizable_protein=np.float64(2575.8390595248197), calcium=np.float64(62.75611336324148), phosphorus=np.float64(59.52563607465679), process_based_phosphorus=np.float64(34.38172085632706), dry_matter=np.float64(23.572481065977012), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.35923066251964, isoleucine=134.69990185851628, leucine=230.80047137626278, lysine=198.0962429546281, methionine=63.65587585883231, phenylalanine=140.33196602017665, threonine=128.03703295788029, thryptophan=31.255799211457656, valine=150.9365112125409))",23.572481065977012,2575.8390595248197
,480,1,['protein_constraint_lower'],"{44: np.float64(1.839747), 51: np.float64(14.516753), 66: np.float64(2.529652), 110: np.float64(6.525353), 167: np.float64(1.37981), 301: np.float64(1.954731)}","NutritionRequirements(maintenance_energy=np.float64(12.44722684503148), growth_energy=np.float64(0.5488616378682687), pregnancy_energy=np.float64(2.9757273102614215), lactation_energy=28.485414275246313, metabolizable_protein=np.float64(2563.1724188767616), calcium=np.float64(63.1045169243493), phosphorus=np.float64(59.55692176818966), process_based_phosphorus=np.float64(34.10535221074818), dry_matter=np.float64(23.757063077032413), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=66.98873216021647, isoleucine=134.05532185430658, leucine=229.5708937711368, lysine=196.98710326105098, methionine=63.283744636060064, phenylalanine=139.6497312795661, threonine=127.45236678087508, thryptophan=31.10254456267264, valine=150.1785778351456))",23.757063077032413,2563.1724188767616
,780,1,['protein_constraint_lower'],"{44: np.float64(1.818399), 51: np.float64(14.348301), 66: np.float64(2.500298), 110: np.float64(6.449633), 167: np.float64(1.363799), 301: np.float64(1.932049)}","NutritionRequirements(maintenance_energy=np.float64(12.381127522031358), growth_energy=np.float64(0.5061253041808452), pregnancy_energy=np.float64(3.202369905857498), lactation_energy=28.45448149112114, metabolizable_protein=np.float64(2577.0534881937765), calcium=np.float64(62.97155352731336), phosphorus=np.float64(59.27218904336669), process_based_phosphorus=np.float64(33.826021902954786), dry_matter=np.float64(23.481386934252644), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.4449091021965, isoleucine=134.51181711005063, leucine=230.76508843278526, lysine=198.18337326001674, methionine=63.655223663189524, phenylalanine=140.2231741456479, threonine=128.07064541783762, thryptophan=31.241849591559227, valine=150.87955894818876))",23.481386934252644,2577.0534881937765
,810,1,['protein_constraint_lower'],"{44: np.float64(1.815815), 51: np.float64(14.327915), 66: np.float64(2.496746), 110: np.float64(6.440469), 167: np.float64(1.361861), 301: np.float64(1.929303)}","NutritionRequirements(maintenance_energy=np.float64(12.393803311698058), growth_energy=np.float64(0.5029424423942382), pregnancy_energy=np.float64(3.2434882263028193), lactation_energy=28.362061259041116, metabolizable_protein=np.float64(2574.745694377214), calcium=np.float64(62.517794225275985), phosphorus=np.float64(59.06137606585149), process_based_phosphorus=np.float64(35.2291602131231), dry_matter=np.float64(23.448023373678527), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=67.39079095703934, isoleucine=134.28221887502303, leucine=230.4642955547052, lysine=197.96273177061212, methionine=63.57238320096549, phenylalanine=140.01479529058963, threonine=127.9323496695354, thryptophan=31.198980736547725, valine=150.6749261128254))",23.448023373678527,2574.745694377214
,840,1,['protein_constraint_lower'],"{44: np.float64(1.827889), 51: np.float64(14.423183), 66: np.float64(2.513347), 110: np.float64(6.483292), 167: np.float64(1.370916), 301: np.float64(1.942132)}","NutritionRequirements(maintenance_energy=np.float64(12.44938882480915), growth_energy=np.float64(0.5003222313664388), pregnancy_energy=np.float64(2.8350275812586703), lactation_energy=28.405234227927096, metabolizable_protein=np.float64(2543.5323029443684), calcium=np.float64(62.86870609077134), phosphorus=np.float64(59.27519181778881), process_based_phosphorus=np.float64(33.15133648523238), dry_matter=np.float64(23.603932635767002), activity_energy=0.0, essential_amino_acids=EssentialAminoAcidRequirements(histidine=66.40370689036901, isoleucine=133.18357570575102, leucine=227.84875514556916, lysine=195.4150645934305, methionine=62.80604521820576, phenylalanine=138.6679790553315, threonine=126.43412322822613, thryptophan=30.87480455316041, valine=149.07408877839393))",23.603932635767002,2543.5323029443684
