DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.202 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.216 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.51 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.66 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.167 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.byproducts_total (kg)
"Under construction, use the results with caution.",0,60.0,60.0,120.0,0.0,1385.587934944046,1198.3216931610789,490.03611444666933,490.03611444666933,174.96407991401304,124.84416118864475,693.0217852844111,4556.811883385532,693.0217852844119,453.243125158058,202.15445582270905,187.51430177999302,187.51430177999302,27.141107494715563,27.141107494715563,252.15826963070717,1336.8666691608912,252.15826963070708,999.7181840000001,4557.033447,1375.2259820000002,2092.290266,750.197624,556.307762,10330.773265,2125.4236060000053
,1,63.0,63.0,126.0,0.0,1385.587934944046,1198.3216931610789,490.03611444666933,490.03611444666933,174.96407991401304,124.84416118864475,693.0217852844111,4556.811883385532,693.0217852844119,430.86074860704275,192.17151973269873,178.25433625999335,178.25433625999335,25.80080589003825,25.80080589003825,239.70600940203028,1270.848562041835,239.7060094020302,1009.9454800000001,4603.652715,1389.2947900000001,2113.69477,757.8722799999999,561.99889,10436.458925,2147.1670700000045
,2,61.5,61.5,123.0,0.0,1385.587934944046,1198.3216931610789,490.03611444666933,490.03611444666933,174.96407991401304,124.84416118864475,693.0217852844111,4556.811883385532,693.0217852844119,559.5594137753802,249.57340225025808,231.49913799999138,231.49913799999138,33.507540116932795,33.507540116932795,311.3065057169224,1650.4526779764092,311.3065057169228,1009.9454800000001,4603.652715,1389.2947900000001,2113.69477,757.8722799999999,561.99889,10436.458925,2147.1670700000045
,3,79.5,79.5,159.0,0.0,1385.587934944046,1198.3216931610789,490.03611444666933,490.03611444666933,174.96407991401304,124.84416118864475,693.0217852844111,4556.811883385532,693.0217852844119,447.6475310203042,199.65872180020648,185.1993103999931,185.1993103999931,26.806032093546236,26.806032093546236,249.04520457353794,1320.3621423811273,249.04520457353786,1066.195608,4860.0586889999995,1466.673234,2231.419542,800.082888,593.300094,11017.730055,2266.7561220000002
,4,84.0,84.0,168.0,0.0,1385.587934944046,1198.3216931610789,490.03611444666933,490.03611444666933,174.96407991401304,124.84416118864475,693.0217852844111,4556.811883385532,693.0217852844119,419.6695603315352,187.18005168769355,173.62435349999353,173.62435349999353,25.130655087699594,25.130655087699594,233.47987928769183,1237.8395084823067,233.47987928769174,1078.979728,4918.3327739999995,1484.259244,2258.1751719999997,809.676208,600.414004,11149.83713,2293.9354519999993
,5,82.5,82.5,165.0,0.0,1389.0432664526347,1201.3100265604833,491.2581496447907,491.2581496447907,175.40039931529486,125.15549326143437,694.7500191629258,4568.175504042354,694.7500191629266,414.07396619378136,184.68431766519097,171.3093621199936,171.3093621199936,24.795579686530267,24.795579686530267,230.36681423052258,1221.3349817025426,230.36681423052252,1081.536552,4929.987591,1487.776446,2263.5262979999998,811.594872,601.836786,11176.258544999999,2299.371317999999
,6,82.5,82.5,165.0,0.0,1385.587934944046,1198.3216931610789,490.03611444666933,490.03611444666933,174.96407991401304,124.84416118864475,693.0217852844111,4556.811883385532,693.0217852844119,419.6695603315352,187.18005168769355,173.62435349999353,173.62435349999353,25.130655087699594,25.130655087699594,233.47987928769183,1237.8395084823067,233.47987928769174,1084.093376,4941.642408,1491.293648,2268.877424,813.5135359999999,603.259568,11202.67996,2304.807183999999
,7,81.0,81.0,162.0,0.0,1389.0432664526347,1201.3100265604833,491.2581496447907,491.2581496447907,175.40039931529486,125.15549326143437,694.7500191629258,4568.175504042354,694.7500191629266,408.4783720560276,182.1885836426884,168.9943707399937,168.9943707399937,24.46050428536094,24.46050428536094,227.25374917335336,1204.8304549227785,227.2537491733533,1089.207024,4964.952042,1498.328052,2279.579676,817.350864,606.105132,11255.52279,2315.6789159999985
,8,82.5,82.5,165.0,0.0,1389.0432664526347,1201.3100265604833,491.2581496447907,491.2581496447907,175.40039931529486,125.15549326143437,694.7500191629258,4568.175504042354,694.7500191629266,391.6915896427662,174.70138157518065,162.04939659999397,162.04939659999397,23.455278081852956,23.455278081852956,217.9145540018457,1155.3168745834864,217.91455400184563,1096.877496,4999.916493,1508.879658,2295.633054,823.106856,610.373478,11334.787035,2331.986513999998
,9,84.0,84.0,168.0,0.0,1385.587934944046,1198.3216931610789,490.03611444666933,490.03611444666933,174.96407991401304,124.84416118864475,693.0217852844111,4556.811883385532,693.0217852844119,386.09599550501235,172.20564755267807,159.73440521999404,159.73440521999404,23.120202680683626,23.120202680683626,214.80148894467646,1138.8123478037223,214.8014889446764,1101.991144,5023.226127,1515.914062,2306.335306,826.944184,613.219042,11387.629864999999,2342.8582459999975
,10,85.5,85.5,171.0,0.0,1385.587934944046,1198.3216931610789,490.03611444666933,490.03611444666933,174.96407991401304,124.84416118864475,693.0217852844111,4556.811883385532,693.0217852844119,380.5004013672586,169.7099135301755,157.41941383999415,157.41941383999415,22.7851272795143,22.7851272795143,211.68842388750724,1122.3078210239582,211.68842388750718,1104.547968,5034.8809439999995,1519.431264,2311.686432,828.862848,614.641824,11414.05128,2348.2941119999973
,11,87.0,87.0,174.0,0.0,1378.6772719268688,1192.3450263622706,487.59204405042664,487.59204405042664,174.09144111144937,124.22149704306547,689.5653175273816,4534.084642071889,689.5653175273824,386.09599550501235,172.20564755267807,159.73440521999404,159.73440521999404,23.120202680683626,23.120202680683626,214.80148894467646,1138.8123478037223,214.8014889446764,1107.104792,5046.535761,1522.948466,2317.037558,830.781512,616.064606,11440.472694999999,2353.729977999997
,12,87.0,87.0,174.0,0.0,1375.2219404182802,1189.3566929628664,486.37000885230526,486.37000885230526,173.65512171016755,123.91016497027583,687.8370836488668,4522.721021415066,687.8370836488676,391.6915896427662,174.70138157518065,162.04939659999397,162.04939659999397,23.455278081852956,23.455278081852956,217.9145540018457,1155.3168745834864,217.91455400184563,1109.661616,5058.190578,1526.465668,2322.388684,832.7001759999999,617.487388,11466.89411,2359.165843999997
,13,87.0,87.0,174.0,0.0,1375.2219404182802,1189.3566929628664,486.37000885230526,486.37000885230526,173.65512171016755,123.91016497027583,687.8370836488668,4522.721021415066,687.8370836488676,358.11802481624335,159.72697744016517,148.15944831999448,148.15944831999448,21.444825674836988,21.444825674836988,199.23616365883035,1056.2897139049019,199.2361636588303,1122.4457360000001,5116.464663,1544.051678,2349.144314,842.293496,624.601298,11599.001185000001,2386.345173999996
,14,88.5,88.5,177.0,0.0,1375.2219404182802,1189.3566929628664,486.37000885230526,486.37000885230526,173.65512171016755,123.91016497027583,687.8370836488668,4522.721021415066,687.8370836488676,358.11802481624335,159.72697744016517,148.15944831999448,148.15944831999448,21.444825674836988,21.444825674836988,199.23616365883035,1056.2897139049019,199.2361636588303,1119.8889120000001,5104.809846,1540.534476,2343.793188,840.374832,623.178516,11572.57977,2380.909307999996
,15,91.5,91.5,183.0,0.0,1375.2219404182802,1189.3566929628664,486.37000885230526,486.37000885230526,173.65512171016755,123.91016497027583,687.8370836488668,4522.721021415066,687.8370836488676,358.11802481624335,159.72697744016517,148.15944831999448,148.15944831999448,21.444825674836988,21.444825674836988,199.23616365883035,1056.2897139049019,199.2361636588303,1119.8889120000001,5104.809846,1540.534476,2343.793188,840.374832,623.178516,11572.57977,2380.909307999996
,16,91.5,91.5,183.0,0.0,1378.6772719268688,1192.3450263622706,487.59204405042664,487.59204405042664,174.09144111144937,124.22149704306547,689.5653175273816,4534.084642071889,689.5653175273824,341.33124240298196,152.23977537265742,141.21447417999474,141.21447417999474,20.439599471329004,20.439599471329004,189.89696848732268,1006.7761335656096,189.89696848732262,1127.5593840000001,5139.774297,1551.086082,2359.8465659999997,846.130824,627.446862,11651.844015,2397.2169059999956
,17,93.0,93.0,186.0,0.0,1382.1326034354574,1195.3333597616747,488.81407924854796,488.81407924854796,174.5277605127312,124.53282911585511,691.2935514058963,4545.448262728711,691.2935514058971,324.5444599897205,144.7525733051497,134.269500039995,134.269500039995,19.43437326782102,19.43437326782102,180.557773315815,957.2625532263172,180.55777331581496,1135.2298560000002,5174.738748,1561.637688,2375.899944,851.886816,631.715208,11731.108259999999,2413.524503999995
,18,94.5,94.5,189.0,0.0,1378.6772719268688,1192.3450263622706,487.59204405042664,487.59204405042664,174.09144111144937,124.22149704306547,689.5653175273816,4534.084642071889,689.5653175273824,318.94886585196673,142.2568392826471,131.9545086599951,131.9545086599951,19.099297866651693,19.099297866651693,177.4447082586458,940.7580264465532,177.44470825864573,1142.9003280000002,5209.703199,1572.189294,2391.953322,857.642808,635.983554,11810.372505,2429.8321019999944
,19,93.0,93.0,186.0,0.0,1378.6772719268688,1192.3450263622706,487.59204405042664,487.59204405042664,174.09144111144937,124.22149704306547,689.5653175273816,4534.084642071889,689.5653175273824,302.16208343870534,134.76963721513937,125.00953451999534,125.00953451999534,18.09407166314371,18.09407166314371,168.10551308713812,891.244446107261,168.10551308713806,1150.5708000000002,5244.667649999999,1582.7409,2408.0067,863.3987999999999,640.2519,11889.636749999998,2446.139699999994
,20,94.5,94.5,189.0,0.0,1378.6772719268688,1192.3450263622706,487.59204405042664,487.59204405042664,174.09144111144937,124.22149704306547,689.5653175273816,4534.084642071889,689.5653175273824,285.37530102544395,127.28243514763162,118.0645603799956,118.0645603799956,17.088845459635724,17.088845459635724,158.76631791563042,841.7308657679687,158.7663179156304,1155.6844480000002,5267.977284,1589.775304,2418.708952,867.236128,643.097464,11942.479580000001,2457.0114319999934
,21,94.5,94.5,189.0,0.0,1375.2219404182802,1189.3566929628664,486.37000885230526,486.37000885230526,173.65512171016755,123.91016497027583,687.8370836488668,4522.721021415066,687.8370836488676,290.9708951631977,129.7781691701342,120.37955175999552,120.37955175999552,17.42392086080505,17.42392086080505,161.87938297279965,858.2353925477328,161.87938297279962,1155.6844480000002,5267.977284,1589.775304,2418.708952,867.236128,643.097464,11942.479580000001,2457.0114319999934
