DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.sold_heiferIII_oversupply_num (animals),AnimalModuleReporter.report_herd_statistics_data.bought_heifer_num (animals),AnimalModuleReporter.report_herd_statistics_data.sold_heiferII_num (animals),AnimalModuleReporter.report_herd_statistics_data.cow_herd_exit_num (animals),AnimalModuleReporter.report_herd_statistics_data.sold_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.GnRH_injection_num_h (injection),AnimalModuleReporter.report_herd_statistics_data.GnRH_injection_num (injection),AnimalModuleReporter.report_herd_statistics_data.PGF_injection_num (injection),AnimalModuleReporter.report_herd_statistics_data.PGF_injection_num_h (injection),AnimalModuleReporter.report_herd_statistics_data.ai_num (AI),AnimalModuleReporter.report_herd_statistics_data.ai_num_h (AI),AnimalModuleReporter.report_herd_statistics_data.preg_check_num (preg check),AnimalModuleReporter.report_herd_statistics_data.preg_check_num_h (preg check),AnimalModuleReporter.report_herd_statistics_data.num_heiferII_in_ed_period (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_in_ed_period (animals),AnimalModuleReporter.report_herd_statistics_data.sold_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.born_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.stillborn_calf_num (animals),AnimalModuleReporter.report_herd_statistics_data.daily_milk_production (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_fat_percent (unitless),AnimalModuleReporter.report_herd_statistics_data.herd_milk_fat_kg (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_protein_kg (kg/day),AnimalModuleReporter.report_herd_statistics_data.herd_milk_protein_percent (percent),AnimalModuleReporter.report_herd_statistics_data.open_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.vwp_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.preg_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.milking_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.dry_cow_num (animals),AnimalModuleReporter.report_herd_statistics_data.avg_days_in_milk (day),AnimalModuleReporter.report_herd_statistics_data.avg_days_in_preg (day),AnimalModuleReporter.report_herd_statistics_data.avg_cow_body_weight (kg),AnimalModuleReporter.report_herd_statistics_data.avg_parity_num (unitless),AnimalModuleReporter.report_herd_statistics_data.avg_calving_interval (day),AnimalModuleReporter.report_herd_statistics_data.avg_breeding_to_preg_time (day),AnimalModuleReporter.report_herd_statistics_data.avg_heifer_culling_age (day),AnimalModuleReporter.report_herd_statistics_data.avg_cow_culling_age (day),AnimalModuleReporter.report_herd_statistics_data.avg_mature_body_weight (kg),AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_1 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_2 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_3 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_4 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_5 (animals),AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_greater_than_5 (animals),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_1 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_2 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_3 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_4 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_5 (day),AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_greater_than_5 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_1 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_2 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_3 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_4 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_5 (day),AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_greater_than_5 (day),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for death (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for low production (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for lameness (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for injury (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for mastitis (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for disease (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for udder (unitless),AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats.culled for unknown (unitless)
"Under construction, use the results with caution.",0,0,0,0,0,0,0,0,0,5,3,3,3,36,0,2,4,0,15073.855244820114,3.9,587.8803545479844,482.36336783424366,3.2,198,195,250,393,55,125.19847328244275,127.444,640.9926450145933,2.169642857142857,373.7767857142857,0.4407894736842105,0,0,741.4693412708525,0,156,123,106,63,0,0,0,0,0,0,0,0,697.4358974358975,1056.30081300813,1419.698113207547,1797.3968253968253,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,0,0,0,1,3,1,34,5,3,5,0,15221.911655693737,3.9,593.6545545720558,487.1011729821996,3.2,203,198,249,398,54,124.62562814070351,127.855421686747,641.170886974035,2.161504424778761,373.9800884955752,0.5723684210526315,0,0,741.4030540213678,1,159,124,106,63,0,0,0,0,0,0,0,0,698.1383647798742,1056.508064516129,1419.698113207547,1797.3968253968253,0,0,0,0,0,0,0,0,0,0
,0,21,0,0,0,0,2,0,0,0,3,1,1,33,5,0,0,0,15302.768760207855,3.9,596.8079816481063,489.6886003266514,3.2,203,199,249,397,55,125.03778337531486,128.85542168674698,641.3150794416925,2.161504424778761,373.9800884955752,0.7124183006535948,0,0,741.2547780502446,2,159,124,106,63,0,0,0,0,0,0,0,0,698.1383647798742,1056.508064516129,1419.698113207547,1797.3968253968253,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,1,6,2,32,5,14,25,0,15259.41083196113,3.9,595.117022446484,488.3011466227562,3.2000000000000006,228,222,247,421,54,118.20665083135393,128.68421052631578,639.5269399010767,2.1094736842105264,374.9094736842105,0.8562091503267973,0,0,741.3104074703782,3,182,123,107,62,1,0,0,0,0,0,0,0,699.032967032967,1056.3739837398373,1419.6448598130842,1797.6290322580646,2133.0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1,4,1,31,5,1,2,0,15713.219790161773,3.9,612.8155718163091,502.82303328517673,3.2,230,223,245,422,53,118.23459715639811,128.4938775510204,639.6113144503398,2.1136842105263156,374.7684210526316,1.0129870129870129,0,0,741.368292626321,4,181,123,108,62,1,0,0,0,0,0,0,0,698.9005524861878,1056.39837398374,1419.851851851852,1797.6290322580646,2133.0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,0,0,0,1,3,3,30,5,1,1,0,15845.044209450769,3.9,617.95672416858,507.0414147024246,3.2,232,218,244,423,53,118.95508274231679,129.7704918032787,639.7160470923976,2.111344537815126,374.8067226890756,1.0129870129870129,0,0,741.368292626321,5,182,123,108,62,1,0,0,0,0,0,0,0,699.2582417582418,1056.39837398374,1419.851851851852,1797.6290322580646,2133.0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1,0,0,0,2,4,4,30,5,0,0,0,15846.622519005525,3.9,618.0182782412155,507.09192060817685,3.2,233,220,243,420,56,118.58095238095238,131.05349794238683,639.8331604192183,2.111344537815126,374.8067226890756,1.1483870967741936,0,0,741.368292626321,6,182,123,108,62,1,0,0,0,0,0,0,0,699.2582417582418,1056.39837398374,1419.851851851852,1797.6290322580646,2133.0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,6,0,1,0,1,2,1,29,5,2,2,0,15846.664211150659,3.9,618.0199042348758,507.0932547568211,3.2,235,217,242,421,56,118.34679334916865,131.4297520661157,639.9927640578611,2.111111111111111,374.7631027253669,1.5128205128205128,0,0,741.368292626321,7,182,124,108,62,1,0,0,0,0,0,0,0,698.9395604395604,1056.6693548387098,1419.851851851852,1797.6290322580646,2133.0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,2,2,0,0,0,5,5,28,5,1,1,0,15957.943297124131,3.9,622.3597885878411,510.6541855079722,3.2,237,217,240,422,55,119.06635071090048,132.12916666666666,640.0965431011753,2.1132075471698113,374.7148846960168,1.5225806451612902,0,0,741.368292626321,8,181,125,108,62,1,0,0,0,0,0,0,0,699.1049723756906,1056.528,1419.851851851852,1797.6290322580646,2133.0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,7,2,2,0,0,3,3,29,5,2,3,0,16002.351182037155,3.900000000000001,624.0916960994491,512.075237825189,3.2,240,218,238,425,53,119.22588235294117,131.9327731092437,640.2033231382086,2.1150627615062763,374.56694560669456,1.5225806451612902,0,0,741.3015826382291,9,181,126,107,63,1,0,0,0,0,0,0,0,698.5966850828729,1057.015873015873,1419.6168224299065,1797.936507936508,2133.0,0,0,0,0,0,0,0,0,0
