DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.202 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.216 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.51 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.66 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.167 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.byproducts_total (kg)
"Under construction, use the results with caution.",0,60.0,60.0,120.0,0.0,1349.1086160276461,1166.7726603593258,477.134599321846,477.134599321846,170.35768120835783,121.55730377888034,674.7761279112299,4436.841587929132,674.776127911236,454.6179232661663,202.76764011163522,188.08307887339183,188.08307887339183,27.22343316313621,27.22343316313621,252.92312781120637,1340.9217152620638,252.92312781120592,1117.11444,3845.5583399999996,1536.71817,1905.02676,838.2929099999999,621.63504,9864.345659999999,2375.0110799999993
,1,61.5,61.5,123.0,0.0,1345.7442553891733,1163.8630028521952,475.9447374781506,475.9447374781506,169.9328490856437,121.25416835798536,673.0933944251669,4425.777145066466,673.0933944251731,449.07380225072524,200.29486401271282,185.78938278956997,185.78938278956997,26.89144007578089,26.89144007578089,249.8386994232648,1324.5690114174045,249.8386994232644,1122.8432320000002,3865.2791519999996,1544.598776,1914.796128,842.5918479999999,624.822912,9914.932047999999,2387.190623999999
,2,61.5,61.5,123.0,0.0,1339.0155341122274,1158.0436878379342,473.56501379075985,473.56501379075985,169.0831848402155,120.64789751619544,669.727927453041,4403.648259341133,669.7279274530472,576.5885856058694,257.16871428792757,238.54439271747253,238.54439271747253,34.527281084953245,34.527281084953245,320.7805523459203,1700.681199844569,320.78055234592017,1122.8432320000002,3865.2791519999996,1544.598776,1914.796128,842.5918479999999,624.822912,9914.932047999999,2387.190623999999
,3,76.5,76.5,153.0,0.0,1342.3798947507003,1160.9533453450647,474.75487563445523,474.75487563445523,169.50801696292962,120.9510329370904,671.410660939104,4414.7127022038,671.4106609391101,443.5296812352842,197.82208791379045,183.4956867057481,183.4956867057481,26.55944698842557,26.55944698842557,246.75427103532328,1308.2163075727453,246.75427103532286,1191.5887360000002,4101.928895999999,1639.166048,2032.028544,894.1791039999999,663.077376,10521.968703999999,2533.3451519999944
,4,76.5,76.5,153.0,0.0,1339.0155341122274,1158.0436878379342,473.56501379075985,473.56501379075985,169.0831848402155,120.64789751619544,669.727927453041,4403.648259341133,669.7279274530472,437.98556021984314,195.34931181486806,181.20199062192626,181.20199062192626,26.227453901070252,26.227453901070252,243.66984264738176,1291.863603728086,243.66984264738133,1197.317528,4121.649708,1647.046654,2041.797912,898.478042,666.265248,10572.555092,2545.524695999994
,5,82.5,82.5,165.0,0.0,1339.0155341122274,1158.0436878379342,473.56501379075985,473.56501379075985,169.0831848402155,120.64789751619544,669.727927453041,4403.648259341133,669.7279274530472,404.72083412719684,180.51265522133377,167.43981411899514,167.43981411899514,24.23549537693833,24.23549537693833,225.1632723197325,1193.7473806601301,225.1632723197322,1214.5039040000001,4180.8121439999995,1670.688472,2071.106016,911.3748559999999,675.828864,10724.314256,2582.063327999993
,6,79.5,79.5,159.0,0.0,1345.7442553891733,1163.8630028521952,475.9447374781506,475.9447374781506,169.9328490856437,121.25416835798536,673.0933944251669,4425.777145066466,673.0933944251731,415.80907615807894,185.45820741917854,172.02720628663886,172.02720628663886,24.89948155164897,24.89948155164897,231.33212909561558,1226.4527883494486,231.33212909561522,1208.775112,4161.091332,1662.807866,2061.336648,907.0759179999999,672.640992,10673.727868000002,2569.8837839999933
,7,81.0,81.0,162.0,0.0,1349.1086160276461,1166.7726603593258,477.134599321846,477.134599321846,170.35768120835783,121.55730377888034,674.7761279112299,4436.841587929132,674.776127911236,388.08847108087366,173.09432692456664,160.5587258675296,160.5587258675296,23.239516114872373,23.239516114872373,215.90998715590788,1144.689269126152,215.90998715590757,1223.097092,4210.393362,1682.509381,2085.760068,917.8232629999999,680.610672,10800.193838000001,2600.3326439999923
,8,82.5,82.5,165.0,0.0,1345.7442553891733,1163.8630028521952,475.9447374781506,475.9447374781506,169.9328490856437,121.25416835798536,673.0933944251669,4425.777145066466,673.0933944251731,382.54435006543264,170.62155082564425,158.26502978370775,158.26502978370775,22.907523027517055,22.907523027517055,212.82555876796633,1128.336565281493,212.82555876796604,1225.9614880000001,4220.253768,1686.4496840000002,2090.644752,919.972732,682.204608,10825.487031999999,2606.422415999992
,9,82.5,82.5,165.0,0.0,1345.7442553891733,1163.8630028521952,475.9447374781506,475.9447374781506,169.9328490856437,121.25416835798536,673.0933944251669,4425.777145066466,673.0933944251731,382.54435006543264,170.62155082564425,158.26502978370775,158.26502978370775,22.907523027517055,22.907523027517055,212.82555876796633,1128.336565281493,212.82555876796604,1225.9614880000001,4220.253768,1686.4496840000002,2090.644752,919.972732,682.204608,10825.487031999999,2606.422415999992
,10,82.5,82.5,165.0,0.0,1345.7442553891733,1163.8630028521952,475.9447374781506,475.9447374781506,169.9328490856437,121.25416835798536,673.0933944251669,4425.777145066466,673.0933944251731,365.91198701910946,163.20322252887712,151.3839415322422,151.3839415322422,21.911543765451096,21.911543765451096,203.5722736041417,1079.278453747515,203.57227360414146,1234.554676,4249.834986,1698.270593,2105.298804,926.4211389999999,686.986416,10901.366614,2624.6917319999916
,11,82.5,82.5,165.0,0.0,1345.7442553891733,1163.8630028521952,475.9447374781506,475.9447374781506,169.9328490856437,121.25416835798536,673.0933944251669,4425.777145066466,673.0933944251731,371.45610803455054,165.6759986277995,153.67763761606403,153.67763761606403,22.243536852806415,22.243536852806415,206.65670199208324,1095.631157592174,206.656701992083,1231.69028,4239.97458,1694.33029,2100.41412,924.27167,685.39248,10876.07342,2618.601959999992
,12,85.5,85.5,171.0,0.0,1345.7442553891733,1163.8630028521952,475.9447374781506,475.9447374781506,169.9328490856437,121.25416835798536,673.0933944251669,4425.777145066466,673.0933944251731,349.2796239727863,155.78489423211,144.50285328077663,144.50285328077663,20.915564503385138,20.915564503385138,194.3189884403171,1030.220342213537,194.31898844031687,1243.147864,4279.416204,1710.091502,2119.952856,932.8695459999999,691.768224,10977.246195999998,2642.961047999991
,13,87.0,87.0,174.0,0.0,1349.1086160276461,1166.7726603593258,477.134599321846,477.134599321846,170.35768120835783,121.55730377888034,674.7761279112299,4436.841587929132,674.776127911236,316.01489788014,140.9482376385757,130.74067677784552,130.74067677784552,18.923605979253217,18.923605979253217,175.81241811266784,932.104119145581,175.8124181126677,1260.3342400000001,4338.57864,1733.73332,2149.26096,945.76636,701.33184,11129.005360000001,2679.49967999999
,14,85.5,85.5,171.0,0.0,1352.4729766661192,1169.682317866456,478.3244611655414,478.3244611655414,170.78251333107195,121.8604391997753,676.4588613972927,4447.906030791798,676.458861397299,310.47077686469896,138.4754615396533,128.4469806940237,128.4469806940237,18.5916128918979,18.5916128918979,172.72798972472629,915.7514153009217,172.72798972472617,1263.198636,4348.4390459999995,1737.6736230000001,2154.145644,947.9158289999999,702.925776,11154.298553999999,2685.5894519999897
,15,81.0,81.0,162.0,0.0,1362.5660585815378,1178.4112903878477,481.89404669662747,481.89404669662747,172.05700969921426,122.76984546246018,681.5070618554815,4481.099359379796,681.5070618554878,327.1031399110221,145.89378983642047,135.32806894548924,135.32806894548924,19.587592153963858,19.587592153963858,181.98127488855093,964.8095268348998,181.98127488855076,1254.605448,4318.857828,1725.852714,2139.491592,941.4674219999999,698.143968,11078.418972000001,2667.3201359999903
,16,84.0,84.0,168.0,0.0,1362.5660585815378,1178.4112903878477,481.89404669662747,481.89404669662747,172.05700969921426,122.76984546246018,681.5070618554815,4481.099359379796,681.5070618554878,321.55901889558106,143.42101373749807,133.03437286166738,133.03437286166738,19.25559906660854,19.25559906660854,178.89684650060937,948.4568229902403,178.89684650060923,1257.469844,4328.718234,1729.793017,2144.376276,943.6168909999999,699.737904,11103.712166,2673.40990799999
,17,84.0,84.0,168.0,0.0,1362.5660585815378,1178.4112903878477,481.89404669662747,481.89404669662747,172.05700969921426,122.76984546246018,681.5070618554815,4481.099359379796,681.5070618554878,338.1913819419042,150.83934203426523,139.91546111313295,139.91546111313295,20.251578328674498,20.251578328674498,188.150131664434,997.5149345242182,188.15013166443381,1248.8766560000001,4299.137016,1717.972108,2129.722224,937.1684839999999,694.956096,11027.832584,2655.1405919999906
,18,84.0,84.0,168.0,0.0,1362.5660585815378,1178.4112903878477,481.89404669662747,481.89404669662747,172.05700969921426,122.76984546246018,681.5070618554815,4481.099359379796,681.5070618554878,338.1913819419042,150.83934203426523,139.91546111313295,139.91546111313295,20.251578328674498,20.251578328674498,188.150131664434,997.5149345242182,188.15013166443381,1251.741052,4308.9974219999995,1721.912411,2134.606908,939.317953,696.550032,11053.125778,2661.2303639999905
,19,84.0,84.0,168.0,0.0,1365.930419220011,1181.3209478949782,483.08390854032285,483.08390854032285,172.48184182192838,123.07298088335516,683.1897953415444,4492.163802242462,683.1897953415507,327.1031399110221,145.89378983642047,135.32806894548924,135.32806894548924,19.587592153963858,19.587592153963858,181.98127488855093,964.8095268348998,181.98127488855076,1257.469844,4328.718234,1729.793017,2144.376276,943.6168909999999,699.737904,11103.712166,2673.40990799999
,20,81.0,81.0,162.0,0.0,1369.2947798584837,1184.2306054021087,484.27377038401823,484.27377038401823,172.90667394464248,123.37611630425012,684.8725288276073,4503.228245105129,684.8725288276137,327.1031399110221,145.89378983642047,135.32806894548924,135.32806894548924,19.587592153963858,19.587592153963858,181.98127488855093,964.8095268348998,181.98127488855076,1260.3342400000001,4338.57864,1733.73332,2149.26096,945.76636,701.33184,11129.005360000001,2679.49967999999
,21,79.5,79.5,159.0,0.0,1372.6591404969568,1187.140262909239,485.4636322277136,485.4636322277136,173.3315060673566,123.67925172514508,686.5552623136703,4514.292687967795,686.5552623136766,338.1913819419042,150.83934203426523,139.91546111313295,139.91546111313295,20.251578328674498,20.251578328674498,188.150131664434,997.5149345242182,188.15013166443381,1257.469844,4328.718234,1729.793017,2144.376276,943.6168909999999,699.737904,11103.712166,2673.40990799999
