DISCLAIMER,AnimalModuleReporter.report_daily_animal_population.sim_day (simulation day),AnimalModuleReporter.report_daily_animal_population.num_animals (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.CALF_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_I_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_II_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_III_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.LAC_COW_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.DRY_COW_deaths (animals),AnimalModuleReporter.report_daily_animal_population.num_calves (animals),AnimalModuleReporter.report_daily_animal_population.num_heiferIs (animals),AnimalModuleReporter.report_daily_animal_population.num_heiferIIs (animals),AnimalModuleReporter.report_daily_animal_population.num_heiferIIIs (animals),AnimalModuleReporter.report_daily_animal_population.num_lactating_cows (animals),AnimalModuleReporter.report_daily_animal_population.num_dry_cows (animals),AnimalModuleReporter.report_daily_animal_population.num_cows_total (animals)
"Under construction, use the results with caution.",0,187,0,0,0,0,0,0,9,43,39,5,77,14,91
,1,187,0,0,0,0,0,0,9,43,39,4,78,14,92
,2,192,0,0,0,0,0,0,8,44,39,9,78,14,92
,3,196,0,0,0,0,0,0,12,44,39,3,84,14,98
,4,196,0,0,0,0,0,0,12,44,39,3,84,14,98
,5,197,0,0,0,0,0,0,12,44,40,3,86,12,98
,6,197,0,0,0,0,0,0,12,44,40,3,86,12,98
,7,197,0,0,0,0,0,0,12,43,41,3,86,12,98
,8,197,0,0,0,0,0,0,12,43,41,3,86,12,98
,9,197,0,0,0,0,0,0,12,43,41,2,87,12,99
,10,197,0,0,0,0,0,0,12,43,41,2,87,12,99
,11,197,0,0,0,0,0,0,12,42,42,2,87,12,99
,12,197,0,0,0,0,0,0,12,42,42,2,87,12,99
,13,198,0,0,0,0,0,0,13,42,42,1,89,11,100
,14,198,0,0,0,0,0,0,12,43,42,1,89,11,100
,15,198,0,0,0,0,0,0,12,43,42,1,88,12,100
,16,198,0,0,0,0,0,0,11,44,42,0,88,13,101
,17,198,0,0,0,0,0,0,11,44,42,0,88,13,101
,18,198,0,0,0,0,0,0,11,43,43,0,88,13,101
,19,198,0,0,0,0,0,0,11,43,43,0,87,14,101
,20,198,0,0,0,0,0,0,11,43,43,0,87,14,101
,21,198,0,0,0,0,0,0,11,41,45,0,86,15,101
,22,198,0,0,0,0,0,0,11,40,46,0,87,14,101
,23,198,0,0,0,0,0,0,11,40,46,0,85,16,101
,24,198,0,0,0,0,0,0,11,40,45,1,85,16,101
,25,198,0,0,0,0,0,0,11,40,45,1,85,16,101
,26,198,0,0,0,0,0,0,11,40,45,1,84,17,101
,27,199,0,0,0,0,0,0,12,40,45,1,85,16,101
,28,199,0,0,0,0,0,0,12,40,45,1,85,16,101
,29,199,0,0,0,0,0,0,12,40,45,1,85,16,101
,30,200,0,0,0,0,0,0,13,40,45,1,86,15,101
,31,200,0,0,0,0,0,0,13,40,45,1,86,15,101
,32,200,0,0,0,0,0,0,13,40,45,1,86,15,101
,33,200,0,0,0,0,0,0,13,40,45,1,86,15,101
,34,201,0,0,0,0,0,0,14,40,45,1,87,14,101
,35,201,0,0,0,0,0,0,14,39,46,1,87,14,101
,36,201,0,0,0,0,0,0,13,40,46,1,87,14,101
,37,201,0,0,0,0,0,0,12,41,46,1,87,14,101
,38,201,0,0,0,0,0,0,12,41,46,1,87,14,101
,39,201,0,0,0,0,0,0,12,41,46,1,87,14,101
,40,201,0,0,0,0,0,0,11,42,46,1,87,14,101
,41,201,0,0,0,0,0,0,11,42,46,1,87,14,101
,42,201,0,0,0,0,0,0,11,42,46,1,87,14,101
,43,201,0,0,0,0,0,0,11,42,46,1,87,14,101
,44,201,0,0,0,0,0,0,11,42,46,0,87,15,102
,45,201,0,0,0,0,0,0,11,42,46,0,87,15,102
,46,201,0,0,0,0,0,0,11,42,46,0,87,15,102
,47,202,0,0,0,0,0,0,12,42,46,0,88,14,102
,48,202,0,0,0,0,0,0,12,41,47,0,88,14,102
,49,202,0,0,0,0,0,0,12,41,46,1,88,14,102
,50,203,0,0,0,0,0,0,13,41,46,1,89,13,102
,51,203,0,0,0,0,0,0,13,41,46,1,88,14,102
,52,204,0,0,0,0,0,0,13,42,46,1,89,13,102
,53,204,0,0,0,0,0,0,13,41,47,1,89,13,102
,54,204,0,0,0,0,0,0,13,41,47,1,89,13,102
,55,205,0,0,0,0,0,0,14,41,47,1,90,12,102
,56,205,0,0,0,0,0,0,14,41,47,1,91,11,102
,57,205,0,0,0,0,0,0,14,39,49,1,91,11,102
,58,205,0,0,0,0,0,0,14,39,49,1,91,11,102
,59,205,0,0,0,0,0,0,14,39,49,1,91,11,102
,60,205,0,0,0,0,0,0,13,40,49,1,91,11,102
,61,205,0,0,0,0,0,0,13,39,49,2,91,11,102
,62,204,0,0,0,0,0,0,13,38,50,1,91,11,102
,63,204,0,0,0,0,0,0,9,42,50,1,91,11,102
,64,204,0,0,0,0,0,0,9,42,50,1,91,11,102
,65,204,0,0,0,0,0,0,8,43,50,1,91,11,102
,66,204,0,0,0,0,0,0,8,43,50,1,91,11,102
,67,205,0,0,0,0,0,0,9,43,50,1,92,10,102
,68,205,0,0,0,0,0,0,9,43,50,1,93,9,102
,69,206,0,0,0,0,0,0,10,43,50,0,94,9,103
,70,206,0,0,0,0,0,0,10,43,50,0,94,9,103
,71,206,0,0,0,0,0,0,10,43,50,0,94,9,103
,72,206,0,0,0,0,0,0,10,43,50,0,95,8,103
,73,206,0,0,0,0,0,0,9,44,50,0,95,8,103
,74,206,0,0,0,0,0,0,9,44,50,0,93,10,103
,75,206,0,0,0,0,0,0,9,44,50,0,93,10,103
,76,206,0,0,0,0,0,0,9,44,50,0,93,10,103
,77,206,0,0,0,0,0,0,9,44,50,0,93,10,103
,78,207,0,0,0,0,0,0,10,43,51,0,94,9,103
,79,207,0,0,0,0,0,0,10,43,51,0,94,9,103
,80,209,0,0,0,0,0,0,12,43,51,0,96,7,103
,81,209,0,0,0,0,0,0,12,43,50,1,96,7,103
,82,208,0,0,0,0,0,0,12,43,50,0,96,7,103
,83,209,0,0,0,0,0,0,13,43,50,0,97,6,103
,84,209,0,0,0,0,0,0,13,43,50,0,96,7,103
,85,209,0,0,0,0,0,0,13,43,50,0,96,7,103
,86,208,0,0,0,0,0,0,13,43,50,0,95,7,102
,87,208,0,0,0,0,0,0,12,44,50,0,95,7,102
,88,208,0,0,0,0,0,0,12,43,51,0,95,7,102
,89,208,0,0,0,0,0,0,12,43,51,0,96,6,102
,90,209,0,0,0,0,0,0,12,44,51,0,96,6,102
,91,208,0,0,0,0,0,0,12,44,51,0,94,7,101
,92,208,0,0,0,0,0,0,12,44,51,0,94,7,101
,93,208,0,0,0,0,0,0,12,44,51,0,93,8,101
,94,208,0,0,0,0,0,0,11,45,51,0,93,8,101
,95,208,0,0,0,0,0,0,11,45,51,0,92,9,101
,96,208,0,0,0,0,0,0,11,45,51,0,92,9,101
,97,208,0,0,0,0,0,0,11,45,50,1,92,9,101
,98,208,0,0,0,0,0,0,11,45,50,1,92,9,101
,99,208,0,0,0,0,0,0,11,45,50,1,91,10,101
,100,208,0,0,0,0,0,0,11,45,50,1,90,11,101
,101,208,0,0,0,0,0,0,11,45,50,1,90,11,101
,102,208,0,0,0,0,0,0,11,45,50,1,90,11,101
,103,208,0,0,0,0,0,0,11,45,50,1,90,11,101
,104,208,0,0,0,0,0,0,11,45,50,1,90,11,101
,105,208,0,0,0,0,0,0,11,45,50,1,89,12,101
,106,208,0,0,0,0,0,0,11,45,50,1,89,12,101
,107,208,0,0,0,0,0,0,10,46,50,1,89,12,101
,108,208,0,0,0,0,0,0,10,46,50,1,89,12,101
,109,208,0,0,0,0,0,0,10,45,51,1,89,12,101
,110,208,0,0,0,0,0,0,9,46,51,1,89,12,101
,111,207,0,0,0,0,0,0,9,45,52,1,87,13,100
,112,207,0,0,0,0,0,0,8,46,50,3,87,13,100
,113,207,0,0,0,0,0,0,8,46,50,3,87,13,100
,114,208,0,0,0,0,0,0,9,46,50,3,88,12,100
,115,208,0,0,0,0,0,0,8,47,50,3,88,12,100
,116,208,0,0,0,0,0,0,8,47,49,4,88,12,100
,117,208,0,0,0,0,0,0,9,47,48,3,89,12,101
,118,207,0,0,0,0,0,0,9,47,48,2,89,12,101
,119,207,0,0,0,0,0,0,9,47,48,2,89,12,101
,120,206,0,0,0,0,0,0,9,47,47,2,89,12,101
,121,206,0,0,0,0,0,0,9,47,47,2,89,12,101
,122,206,0,0,0,0,0,0,9,47,47,2,89,12,101
,123,206,0,0,0,0,0,0,9,47,46,3,89,12,101
,124,205,0,0,0,0,0,0,9,47,46,2,89,12,101
,125,205,0,0,0,0,0,0,9,47,46,2,88,13,101
,126,206,0,0,0,0,0,0,10,47,46,2,89,12,101
,127,206,0,0,0,0,0,0,9,48,44,4,89,12,101
,128,204,0,0,0,0,0,0,9,47,45,2,89,12,101
,129,204,0,0,0,0,0,0,8,48,45,2,89,12,101
,130,204,0,0,0,0,0,0,8,47,46,2,89,12,101
,131,204,0,0,0,0,0,0,8,47,46,2,89,12,101
,132,205,0,0,0,0,0,0,9,47,46,0,91,12,103
,133,204,0,0,0,0,0,0,9,47,45,1,90,12,102
,134,204,0,0,0,0,0,0,9,47,45,1,90,12,102
,135,204,0,0,0,0,0,0,9,46,45,2,90,12,102
,136,203,0,0,0,0,0,0,9,46,45,1,91,11,102
