DISCLAIMER,variable_name,usage_count
"Under construction, use the results with caution.",AnimalModuleReporter.report_herd_statistics_data.simulation_day,3
,Field._record_manure_application.manure_application.field='field Corn 2022'.day,2
,Field._record_manure_application.manure_application.field='field Corn 2022'.year,2
,Field._record_manure_application.manure_application.field='field Corn 2022'.field_size,2
,Field._record_manure_application.manure_application.field='field Corn 2022'.field_name,2
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.year,2
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.day,2
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.field_size,2
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.field_name,2
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.year,2
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.day,2
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.field_size,2
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.field_name,2
,CropManagement._record_yield.harvest_yield.field='field Corn 2022'.crop,2
,CropManagement._record_yield.harvest_yield.field='field Corn 2022'.harvest_type,2
,CropManagement._record_yield.harvest_yield.field='field Corn 2022'.dry_yield,2
,CropManagement._record_yield.harvest_yield.field='field Corn 2022'.harvest_year,2
,CropManagement._record_yield.harvest_yield.field='field Corn 2022'.harvest_day,2
,CropManagement._record_yield.harvest_yield.field='field Corn 2022'.field_name,2
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.day,2
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.year,2
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.field_size,2
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.field_name,2
,CropManagement._record_yield.harvest_yield.field='field Alfalfa 2022'.crop,2
,CropManagement._record_yield.harvest_yield.field='field Alfalfa 2022'.harvest_type,2
,CropManagement._record_yield.harvest_yield.field='field Alfalfa 2022'.dry_yield,2
,CropManagement._record_yield.harvest_yield.field='field Alfalfa 2022'.harvest_year,2
,CropManagement._record_yield.harvest_yield.field='field Alfalfa 2022'.harvest_day,2
,CropManagement._record_yield.harvest_yield.field='field Alfalfa 2022'.field_name,2
,RufasTime.simulation_day,2
,AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW,2
,Field._record_manure_application.manure_application.field='field Corn 2022'.dry_matter_mass,1
,Field._record_manure_application.manure_application.field='field Corn 2022'.dry_matter_fraction,1
,Field._record_manure_application.manure_application.field='field Corn 2022'.application_depth,1
,Field._record_manure_application.manure_application.field='field Corn 2022'.nitrogen,1
,Field._record_manure_application.manure_application.field='field Corn 2022'.average_clay_percent,1
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.mass,1
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.nitrogen,1
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.phosphorus,1
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.potassium,1
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.application_depth,1
,Field._record_fertilizer_application.fertilizer_application.field='field Corn 2022'.average_clay_percent,1
,Field._record_planting.crop_planting.field='field Corn 2022'.crop,1
,Field._record_planting.crop_planting.field='field Corn 2022'.year,1
,Field._record_planting.crop_planting.field='field Corn 2022'.day,1
,Field._record_planting.crop_planting.field='field Corn 2022'.field_size,1
,Field._record_planting.crop_planting.field='field Corn 2022'.average_clay_percent,1
,Field._record_planting.crop_planting.field='field Corn 2022'.field_name,1
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.mass,1
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.nitrogen,1
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.phosphorus,1
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.potassium,1
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.application_depth,1
,Field._record_fertilizer_application.fertilizer_application.field='field Alfalfa 2022'.average_clay_percent,1
,CropManagement._record_yield.harvest_yield.field='field Corn 2022'.field_size,1
,Feed.Silage.Bunker.corn_silage_storage_2.crop_received.field_name,1
,Feed.Silage.Bunker.corn_silage_storage_2.crop_received.crop_name,1
,Feed.Silage.Bunker.corn_silage_storage_2.crop_received.feed_id,1
,TillageApplication._record_tillage.tillage_record.field='field Corn 2022'.tillage_depth,1
,TillageApplication._record_tillage.tillage_record.field='field Corn 2022'.implement,1
,TillageApplication._record_tillage.tillage_record.field='field Corn 2022'.year,1
,TillageApplication._record_tillage.tillage_record.field='field Corn 2022'.day,1
,TillageApplication._record_tillage.tillage_record.field='field Corn 2022'.field_size,1
,TillageApplication._record_tillage.tillage_record.field='field Corn 2022'.average_clay_percent,1
,TillageApplication._record_tillage.tillage_record.field='field Corn 2022'.field_name,1
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.dry_matter_mass,1
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.dry_matter_fraction,1
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.application_depth,1
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.nitrogen,1
,Field._record_manure_application.manure_application.field='field Alfalfa 2022'.average_clay_percent,1
,TillageApplication._record_tillage.tillage_record.field='field Alfalfa 2022'.tillage_depth,1
,TillageApplication._record_tillage.tillage_record.field='field Alfalfa 2022'.implement,1
,TillageApplication._record_tillage.tillage_record.field='field Alfalfa 2022'.year,1
,TillageApplication._record_tillage.tillage_record.field='field Alfalfa 2022'.day,1
,TillageApplication._record_tillage.tillage_record.field='field Alfalfa 2022'.field_size,1
