properties_group,name,type,description,pattern,default,maximum,minimum
config_properties,start_date,string,The year and Julian day on which the simulation will start.,[12][019][0-9]{2}:(?:[1-9]|[1-9][0-9]|[12][0-9]{2}|3[0-5][0-9]|36[0-6])$,2009:1,,
config_properties,end_date,string,The year and Julian day on which the simulation will end.,[12][019][0-9]{2}:(?:[1-9]|[1-9][0-9]|[12][0-9]{2}|3[0-5][0-9]|36[0-6])$,2009:100,,
config_properties,simulation_type,string,The type of daily simulation to run. Will determine daily simulation function in SimulationEngine.,^(full_farm|field_and_feed)$,full_farm,,
config_properties,nutrient_standard,string,The nutrient standard to use for feed.,^(NASEM|NRC)$,NASEM,,
config_properties,FIPS_county_code,number,Unique 5-digit code that represents a specific U.S. county.,,,56045,1000
config_properties,include_detailed_values,bool,Whether or not to add detailed_values property to the json output,,False,,
animal_properties,herd_information_calf_num,number,Number of Calves (head) -- The initial number of pre-weaned calves,,8,,2
animal_properties,herd_information_heiferI_num,number,Number of HeiferI's (head) -- The initial number of heifers that are weaned but not yet bred,,44,,2
animal_properties,herd_information_heiferII_num,number,"Number of HeiferII's (head) -- The initial number of heifers that are either eligible for breeding (based on user-inputted Breeding Start Day for heifers), or in early pregnancy",,38,,2
animal_properties,herd_information_heiferIII_num_springers,number,"Number of HeiferIII's (head) -- The initial number of close-up heifers (heifers within the user-defined close-up period, i.e. Prefresh Day)",,5,,2
animal_properties,herd_information_cow_num,number,Number of Cows (head) -- The initial number of dry and lactating cows.,,100,,6
animal_properties,herd_information_replace_num,number,Replacements (head) -- Number of replacement animals available in the replacement market,,5000,,50
animal_properties,herd_information_herd_num,number,Herd Number (head) -- The target number of dry and lactating cows on the farm,,100,,6
animal_properties,herd_information_breed,string,Breed (select one) -- The predominant breed of the herd (Holstein or Jersey),^(HO|JE)$,HO,,
animal_properties,herd_information_parity_fractions_1,number,No description available,,0.36,1.0,0.0
animal_properties,herd_information_parity_fractions_2,number,No description available,,0.26,1.0,0.0
animal_properties,herd_information_parity_fractions_3,number,No description available,,0.18,1.0,0.0
animal_properties,herd_information_parity_fractions_4,number,No description available,,0.11,1.0,0.0
animal_properties,herd_information_parity_fractions_5,number,No description available,,0.9,1.0,0.0
animal_properties,herd_information_milking_cow_fraction,number,Fraction of cows assumed to be in milk at any given time (305/365 is the default).,,0.8365,1.0,0.0
animal_properties,herd_information_annual_milk_yield,number,"The total milk yield generated by the farm in one year (kg). If this information is not available, it can be input as null",,,,0
animal_properties,herd_initialization_initial_animal_num,number,The initial number of animals for the simulation starting with to generate the herd,,10000,,0
animal_properties,herd_initialization_simulation_days,number,The number of days to simulate for generating the herd,,5000,,0
animal_properties,animal_config_management_decisions_breeding_start_day_h,number,Heifer Breeding Start Day (days) -- Days old when RuFaS initiates estrus detection (first cycle to occur between 1-21 days later),,380,,0
animal_properties,animal_config_management_decisions_heifer_repro_method,string,Heifer Reproductive Program (select one) -- TAI - Timed Artificial Insemination; ED - Estrus Detection; Synch-ED - Synchronized Estrus Detection,^(TAI|ED|SynchED)$,TAI,,
animal_properties,animal_config_management_decisions_cow_repro_method,string,Cow Reproduction Protocol (select one) -- TAI - Timed Artificial Insemination; ED - Estrus Detection; ED-TAI - Combination of ED and TAI,^(TAI|ED|ED-TAI)$,TAI,,
animal_properties,animal_config_management_decisions_semen_type,string,Semen type (select one) -- The semen type (sexed or conventional) that makes up a majority of the farm's breedings,^(sexed|conventional)$,conventional,,
animal_properties,animal_config_management_decisions_days_in_preg_when_dry,number,Days In Pregnancy When Dry (days) -- The average days in pregnancy of cows at dry-off,,218,,1
animal_properties,animal_config_management_decisions_heifer_repro_cull_time,number,Heifer Reproduction Cull Time (days) -- Days old when a heifer would be culled for failure to become pregnant,,500,,0
animal_properties,animal_config_management_decisions_do_not_breed_time,number,Cow Do Not Breed Time (days) -- The length of the breeding period after parturition for cows after which reproduction protocols stop if they fail to get pregnant,,185,,0
animal_properties,animal_config_management_decisions_cull_milk_production,number,Cull Milk Production (kg/d) -- Milk production threshold at which 'do not breed' cows are culled if they fall below,,30,,0
animal_properties,animal_config_management_decisions_cow_times_milked_per_day,number,"Number of Milkings (per day) -- The average or most common number of times cows are milked per day (1, 2, or 3 times daily)",,3,,0
animal_properties,animal_config_management_decisions_milk_fat_percent,number,Milk Fat Percent (percent) -- The average or most common milk fat percentage in cow milk,,3.5,,0
animal_properties,animal_config_management_decisions_milk_protein_percent,number,Milk Protein Percent (percent) -- The average or most common milk protein percentage in cow milk,,3.2,,0
animal_properties,animal_config_management_decisions_simulate_genetics,bool,Whether or not to simulate genetics for animals,,True,,
animal_properties,animal_config_farm_level_male_calf_rate_sexed_semen,number,"Male Calf Rate, Sexed Semen (percent) -- The rate of male calves when using sexed semen",,0.1,1,0
animal_properties,animal_config_farm_level_male_calf_rate_conventional_semen,number,"Male Calf Rate, Conventional Semen (percent) -- The rate of male calves when using conventional semen",,0.53,1,0
animal_properties,animal_config_farm_level_keep_female_calf_rate,number,Female Calf Retention Rate (percent) -- The percentage of female calves kept and raised on-farm,,1,1,0
animal_properties,animal_config_farm_level_wean_day,number,Wean Day (days) -- The days of age at which calves are fully weaned from milk or milk replacer,,60,,0
animal_properties,animal_config_farm_level_wean_length,number,Wean Length (days) -- Length of the weaning process,,7,,1
animal_properties,animal_config_farm_level_milk_type,string,Milk Type (select one) -- The type of milk that is used to feed calves (Whole or Replacer),^(whole|replacer)$,whole,,
animal_properties,animal_config_farm_level_voluntary_waiting_period,number,"Voluntary Waiting Period (days) -- When the cow's days in milk has reached this day, monitoring for estrus and subsequent breeding, if found, will begin. Used only in the ED and ED-TAI protocols. When TAI protocol is used, this value will be ignored, and it is recommended to set it to 0.",,50,,0
animal_properties,animal_config_farm_level_conception_rate_decrease,number,Conception Rate Decrease (percent) -- The percent decrease in conception rate of each breeding after the first breeding,,0.026,0.1,0
animal_properties,animal_config_farm_level_decrease_conception_rate_in_rebreeding,bool,Decrease Conception Rate in Rebreeding -- whether or not to decrease the conception rate in rebreeding (default is false),,False,,
animal_properties,animal_config_farm_level_decrease_conception_rate_by_parity,bool,Decrease Conception Rate by Parity -- whether or not to decrease the conception rate by parity (default is false),,False,,
animal_properties,animal_config_farm_level_avg_gestation_len,number,Average Gestation Length (days) -- Average length of gestation,,278,,0
animal_properties,animal_config_farm_level_std_gestation_len,number,Gestation Length Standard Deviation (days) -- Standard deviation of gestation length,,6,,0
animal_properties,animal_config_farm_level_prefresh_day,number,"Prefresh Day -- days prior to calving at which pregnant animals enter the close-up period (i.e., the length of the close-up period)",,30,,0
animal_properties,animal_config_farm_level_calving_interval,number,"Calving Interval (days) -- Current average calving interval, used for initial bodyweight adjustment and other calculations",,400,,1
animal_properties,animal_config_farm_level_heifers_estrus_detection_rate,number,Estrus Detection Rate (fraction) -- The fraction of total heifers in estrus that are detected and inseminated in the ED (Estrus Detection) protocol,,0.9,1,0
animal_properties,animal_config_farm_level_heifers_estrus_conception_rate,number,Estrus Conception Rate (fraction) -- The fraction of inseminated heifers that become pregnant for heifers bred on estrus detection (ED (Estrus Detection) and SynchED protocols),,0.6,1,0
