DISCLAIMER,variable_name,usage_count
"Under construction, use the results with caution.",CropManagement._record_yield.harvest_yield.field='field_1'.crop,2
,CropManagement._record_yield.harvest_yield.field='field_1'.harvest_type,2
,CropManagement._record_yield.harvest_yield.field='field_1'.dry_yield,2
,CropManagement._record_yield.harvest_yield.field='field_1'.harvest_year,2
,CropManagement._record_yield.harvest_yield.field='field_1'.harvest_day,2
,CropManagement._record_yield.harvest_yield.field='field_1'.field_size,2
,CropManagement._record_yield.harvest_yield.field='field_1'.field_name,2
,CropManagement._record_yield.harvest_yield.field='field_2'.crop,2
,CropManagement._record_yield.harvest_yield.field='field_2'.harvest_type,2
,CropManagement._record_yield.harvest_yield.field='field_2'.dry_yield,2
,CropManagement._record_yield.harvest_yield.field='field_2'.harvest_year,2
,CropManagement._record_yield.harvest_yield.field='field_2'.harvest_day,2
,CropManagement._record_yield.harvest_yield.field='field_2'.field_size,2
,CropManagement._record_yield.harvest_yield.field='field_2'.field_name,2
,Field._record_planting.crop_planting.field='field_1'.crop,1
,Field._record_planting.crop_planting.field='field_1'.year,1
,Field._record_planting.crop_planting.field='field_1'.day,1
,Field._record_planting.crop_planting.field='field_1'.field_size,1
,Field._record_planting.crop_planting.field='field_1'.average_clay_percent,1
,Field._record_planting.crop_planting.field='field_1'.field_name,1
,Field._record_planting.crop_planting.field='field_2'.crop,1
,Field._record_planting.crop_planting.field='field_2'.year,1
,Field._record_planting.crop_planting.field='field_2'.day,1
,Field._record_planting.crop_planting.field='field_2'.field_size,1
,Field._record_planting.crop_planting.field='field_2'.average_clay_percent,1
,Field._record_planting.crop_planting.field='field_2'.field_name,1
,CropManagement._record_yield.harvest_yield.field='field_1'.wet_yield,1
,CropManagement._record_yield.harvest_yield.field='field_1'.nitrogen,1
,CropManagement._record_yield.harvest_yield.field='field_1'.phosphorus,1
,CropManagement._record_yield.harvest_yield.field='field_1'.yield_residue,1
,CropManagement._record_yield.harvest_yield.field='field_1'.residue_nitrogen,1
,CropManagement._record_yield.harvest_yield.field='field_1'.residue_phosphorus,1
,CropManagement._record_yield.harvest_yield.field='field_1'.harvest_index,1
,CropManagement._record_yield.harvest_yield.field='field_1'.planting_year,1
,CropManagement._record_yield.harvest_yield.field='field_1'.planting_day,1
,CropManagement._record_yield.harvest_yield.field='field_2'.wet_yield,1
,CropManagement._record_yield.harvest_yield.field='field_2'.nitrogen,1
,CropManagement._record_yield.harvest_yield.field='field_2'.phosphorus,1
,CropManagement._record_yield.harvest_yield.field='field_2'.yield_residue,1
,CropManagement._record_yield.harvest_yield.field='field_2'.residue_nitrogen,1
,CropManagement._record_yield.harvest_yield.field='field_2'.residue_phosphorus,1
,CropManagement._record_yield.harvest_yield.field='field_2'.harvest_index,1
,CropManagement._record_yield.harvest_yield.field='field_2'.planting_year,1
,CropManagement._record_yield.harvest_yield.field='field_2'.planting_day,1
,RufasTime.day,1
,RufasTime.calendar_year,1
,AnimalModuleReporter.report_average_genetics.herd_average_genetics,1
,AnimalModuleReporter.report_average_genetics.calves_average_genetics,1
,AnimalModuleReporter.report_average_genetics.heiferI_average_genetics,1
,AnimalModuleReporter.report_average_genetics.heiferII_average_genetics,1
,AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics,1
,AnimalModuleReporter.report_average_genetics.cow_average_genetics,1
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.202,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.216,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.50,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.110,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.95,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.104,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.44,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.301,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.302,0
,UserDefinedRationManager.set_user_defined_rations.user_defined_ration.23,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.simulation day,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.attempt number,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.constraints_failed_dict,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.ration_attempted,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.pen requirements,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.initial_dry_matter_requirement,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_1.initial_protein_requirement,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.simulation day,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.attempt number,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.constraints_failed_dict,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.ration_attempted,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.pen requirements,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.initial_dry_matter_requirement,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_2.initial_protein_requirement,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.simulation day,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.attempt number,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.constraints_failed_dict,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.ration_attempted,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.pen requirements,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.initial_dry_matter_requirement,0
,RationOptimizer.handle_failed_constraints.failed_constraint_summary_for_pen_3.initial_protein_requirement,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_CALF_PEN_0.202,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_CALF_PEN_0.216,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_CALF_PEN_0.dry_matter_intake_total,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.dm,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.CP,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.ADF,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.NDF,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.lignin,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.ash,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.phosphorus,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.potassium,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.N,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.as_fed,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.EE,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.starch,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.TDN,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.DE,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.calcium,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.fat,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.fat_percentage,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.forage_ndf,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.forage_ndf_percent,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.ME,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.NE_maintenance_and_activity,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.NE_lactation,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.NE_growth,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_CALF_PEN_0.metabolizable_protein,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.50,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.110,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.95,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.104,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.44,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.301,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.302,0
,AnimalModuleReporter.report_ration_per_animal.ration_per_animal_for_GROWING_PEN_1.dry_matter_intake_total,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.dm,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.CP,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.ADF,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.NDF,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.lignin,0
,AnimalModuleReporter.report_nutrient_amounts.ration_nutrient_amount_for_GROWING_PEN_1.ash,0
